2025-09-07 14:33:22,480 - INFO - Database connection established
2025-09-07 14:33:22,800 - INFO - uk_absence_data table already exists
2025-09-07 14:33:22,959 - INFO - Starting data upload for Wales schools...
2025-09-07 14:33:22,969 - INFO - Found 1464 schools in CSV file
2025-09-07 14:33:39,093 - INFO - [50/1464] Updated: Ysgol Bethel - Lit: None, Math: None, Sci: None
2025-09-07 14:33:39,253 - INFO - Committed batch. Progress: 50/1464
2025-09-07 14:33:39,730 - INFO - [51/1464] Updated: Ysgol Bodfeurig - Lit: None, Math: None, Sci: None
2025-09-07 14:33:40,049 - INFO - [52/1464] Updated: YSGOL GYNRADD BORTH-Y-GEST - Lit: None, Math: None, Sci: None
2025-09-07 14:33:40,368 - INFO - [53/1464] Updated: Ysgol Brynaerau - Lit: None, Math: None, Sci: None
2025-09-07 14:33:40,687 - INFO - [54/1464] Updated: Ysgol Y Gelli - Lit: None, Math: None, Sci: None
2025-09-07 14:33:41,006 - INFO - [55/1464] Updated: Ysgol Penybryn - Lit: None, Math: None, Sci: None
2025-09-07 14:33:41,325 - INFO - [56/1464] Updated: Ysgol Treferthyr - Lit: None, Math: None, Sci: None
2025-09-07 14:33:41,643 - INFO - [57/1464] Updated: Ysgol Gynradd Chwilog - Lit: None, Math: None, Sci: None
2025-09-07 14:33:41,962 - INFO - [58/1464] Updated: YSGOL CRUD-Y-WERIN - Lit: None, Math: None, Sci: None
2025-09-07 14:33:42,281 - INFO - [59/1464] Updated: Ysgol Dolbadarn - Lit: None, Math: None, Sci: None
2025-09-07 14:33:42,599 - INFO - [60/1464] Updated: Ysgol Gynradd Edern - Lit: None, Math: None, Sci: None
2025-09-07 14:33:42,919 - INFO - [61/1464] Updated: Ysgol Bro Plenydd - Lit: None, Math: None, Sci: None
2025-09-07 14:33:43,238 - INFO - [62/1464] Updated: Ysgol Gynradd Garndolbenmaen - Lit: None, Math: None, Sci: None
2025-09-07 14:33:43,558 - INFO - [63/1464] Updated: Ysgol Gynradd Llanbedrog - Lit: None, Math: None, Sci: None
2025-09-07 14:33:43,877 - INFO - [64/1464] Updated: Ysgol Gynradd Llangybi - Lit: None, Math: None, Sci: None
2025-09-07 14:33:44,196 - INFO - [65/1464] Updated: Ysgol Llanllechid - Lit: None, Math: None, Sci: None
2025-09-07 14:33:44,518 - INFO - [66/1464] Updated: Ysgol Gynradd Llanllyfni - Lit: None, Math: None, Sci: None
2025-09-07 14:33:44,836 - INFO - [67/1464] Updated: YSGOL BABANOD MORFA NEFYN - Lit: None, Math: None, Sci: None
2025-09-07 14:33:45,155 - INFO - [68/1464] Updated: Ysgol Baladeulyn - Lit: None, Math: None, Sci: None
