Local Authority,SeedCode,School Name,School Type,Teachers (Full Time Equivalent) [Note 1],Pupil roll,Pupil Teacher Ratio,Average class size,Female,Male,P1,P2,P3,P4,P5,P6,P7,S1,S2,S3,S4,S5,S6,Special school pupils,Pupils with an Additional Support Need recorded,Pupils with no Additional Support Needs recorded,Pupils with English as an Additional Language [Note 2],Pupils without English as an Additional Language [Note 2],Pupils taught in Gaelic [Note 3],Pupils with no Gaelic taught [Note 3],White - British [Note 4],White - Other [Note 4],Minority Ethnic [Note 4],Not known/not disclosed [Note 4],P1-P5 pupils registered for free school meals [Note 5],Percentage of P1-P5 pupils registered for free school meals [Note 5],P6-P7/S1-S6/SP pupils registered for free school meals [Note 5],Percentage of P6-P7/S1-S6/SP pupils registered for free school meals [Note 5],SIMD Quintile 1 [Note 6],SIMD Quintile 2 [Note 6],SIMD Quintile 3 [Note 6],SIMD Quintile 4 [Note 6],SIMD Quintile 5 [Note 6],SIMD not availble [Note 6],Urban [Note 7],Small town [Note 7],Rural [Note 7],Urban/rural classification not available [Note 7],Attendance rate (%)[Note 8] [Note 9],Authorised absence rate (%) [Note 8] [Note 9],Unauthorised absence rate (%)[Note 8] [Note 9],Absence due to temporary exclusion rate (%) [Note 8] [Note 9],School's 6-fold urban/rural classification,School's 8-fold urban/rural classification,Denomination of school,,
Aberdeen City,5246326,Danestone School,Primary,14.3,255,17.8,25.5,148,107,33,33,35,42,45,26,41,z,z,z,z,z,z,z,47,208,30,225,0,255,176,11,68,0,188,100,5,7.5,C,24,C,40,185,0,80-90%,0-10%,10-20%,0-10%,94.7,3.7,1.6,0.0,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,5234921,Dyce School,Primary,23.7,401,16.9,21.1,195,206,54,43,48,66,52,64,74,z,z,z,z,z,z,z,127,274,67,334,0,401,266,46,48,41,263,100,31,22.5,C,15,155,61,167,C,90-100%,0-10%,0-10%,0-10%,92.6,6.0,1.5,0.0,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,5239427,Fernielea School,Primary,15.9,283,17.8,23.6,153,130,50,26,45,35,52,40,35,z,z,z,z,z,z,z,114,169,25,258,0,283,178,44,56,5,208,100,22,29.3,31,141,49,22,40,0,90-100%,0-10%,0-10%,0-10%,91.7,5.0,3.3,0.0,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,5239524,Ferryhill School,Primary,20.7,411,19.9,25.7,199,212,66,61,54,70,45,59,56,z,z,z,z,z,z,z,20,391,69,342,0,411,156,67,181,7,296,100,13,11.3,C,50,40,89,226,C,90-100%,0-10%,0-10%,0-10%,94.2,3.5,2.3,0.0,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,5246121,Forehill School,Primary,12.8,237,18.5,26.3,119,118,33,39,37,25,29,41,33,z,z,z,z,z,z,z,37,200,36,201,0,237,182,10,45,0,163,100,6,8.1,C,0,0,43,193,C,80-90%,0-10%,10-20%,0-10%,95.1,3.7,1.3,0.0,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,5241626,Gilcomstoun School,Primary,23.8,310,13,22.1,147,163,52,47,38,39,45,45,44,z,z,z,z,z,z,z,39,271,90,220,36,274,84,43,174,9,221,100,11,12.4,12,77,147,16,58,0,90-100%,0-10%,0-10%,0-10%,92.1,4.9,3.0,C,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,5235529,Glashieburn School,Primary,16.1,218,13.5,19.8,104,114,26,33,32,30,32,36,29,z,z,z,z,z,z,z,99,119,24,194,0,218,158,13,46,C,153,100,10,15.4,8,12,6,30,162,0,90-100%,0-10%,0-10%,0-10%,95.3,3.7,1.1,0.0,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,5248922,Greenbrae School,Primary,19.9,374,18.8,26.7,183,191,45,53,55,61,60,49,51,z,z,z,z,z,z,z,24,350,12,362,0,374,291,23,60,0,274,100,12,12,0,C,C,273,96,0,90-100%,0-10%,0-10%,0-10%,94.7,3.7,1.5,0.0,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,1006436,Greyhope School & Community Hub,Primary,21.5,324,15.1,24.9,139,185,44,52,43,55,57,35,38,z,z,z,z,z,z,z,130,194,75,249,0,324,141,79,98,6,251,100,17,23.3,170,113,28,C,8,C,90-100%,0-10%,0-10%,0-10%,88.8,6.7,4.5,C,Large urban areas,Large urban areas,Non-denominational,,
Aberdeen City,5239729,Hanover Street School,Primary,13.9,239,17.2,23.9,111,128,37,39,30,37,32,36,28,z,z,z,z,z,z,z,119,120,50,189,0,239,38,44,157,0,175,100,14,21.9,16,54,81,42,46,0,90-100%,0-10%,0-10%,0-10%,92.3,6.2,1.5,C,Large urban areas,Large urban areas,Non-denominational,,
