Local Authority,SeedCode,School Name,School Type,Teachers (Full Time Equivalent) [Note 1],Pupil roll,Pupil Teacher Ratio,Average class size,Female,Male,P1,P2,P3,P4,P5,P6,P7,S1,S2,S3,S4,S5,S6,Special school pupils,Pupils with an Additional Support Need recorded,Pupils with no Additional Support Needs recorded,Pupils with English as an Additional Language [Note 2],Pupils without English as an Additional Language [Note 2],Pupils taught in Gaelic [Note 3],Pupils with no Gaelic taught [Note 3],White - British [Note 4],White - Other [Note 4],Minority Ethnic [Note 4],Not known/not disclosed [Note 4],P1-P5 pupils registered for free school meals [Note 5],Percentage of P1-P5 pupils registered for free school meals [Note 5],P6-P7/S1-S6/SP pupils registered for free school meals [Note 5],Percentage of P6-P7/S1-S6/SP pupils registered for free school meals [Note 5],SIMD Quintile 1 [Note 6],SIMD Quintile 2 [Note 6],SIMD Quintile 3 [Note 6],SIMD Quintile 4 [Note 6],SIMD Quintile 5 [Note 6],SIMD not availble [Note 6],Urban [Note 7],Small town [Note 7],Rural [Note 7],Urban/rural classification not available [Note 7],Attendance rate (%)[Note 8] [Note 9],Authorised absence rate (%) [Note 8] [Note 9],Unauthorised absence rate (%)[Note 8] [Note 9],Absence due to temporary exclusion rate (%) [Note 8] [Note 9],School's 6-fold urban/rural classification,School's 8-fold urban/rural classification,Denomination of school,,
East Ayrshire,8242925,Sorn Primary School,Primary,4.0,27,6.8,9,12,15,5,C,C,6,C,C,C,z,z,z,z,z,z,z,11,16,0,27,0,27,24,0,C,C,20,100,C,C,C,C,17,C,C,0,0-10%,20-30%,70-80%,0-10%,92.0,5.1,2.8,0.0,Accessible rural areas,Accessible rural areas,Non-denominational,,
East Ayrshire,8220026,St Andrew&apos;s Primary School,Primary,19.5,348,17.9,26.8,171,177,46,40,42,53,52,62,53,z,z,z,z,z,z,z,60,288,29,319,0,348,268,27,52,C,233,100,31,27,107,81,79,57,22,C,90-100%,0-10%,0-10%,0-10%,90.9,6.3,2.9,0.0,Other urban areas,Other urban areas,Roman Catholic,,
East Ayrshire,8240728,St Patrick&apos;s Primary School - Auchinleck,Primary,7.9,128,16.2,21.3,65,63,17,17,18,13,19,24,20,z,z,z,z,z,z,z,41,87,C,C,0,128,121,C,C,C,84,100,7,15.9,76,7,39,C,C,0,0-10%,80-90%,10-20%,0-10%,90.4,5.6,4.0,C,Accessible small towns,Accessible small towns,Roman Catholic,,
East Ayrshire,8221022,St Sophia&apos;s Primary School,Primary,7.9,90,11.4,18,54,36,10,15,11,17,9,12,16,z,z,z,z,z,z,z,32,58,C,C,0,90,83,0,6,C,62,100,9,32.1,23,34,21,11,C,C,0-10%,70-80%,10-20%,0-10%,91.5,6.1,2.4,0.0,Accessible small towns,Accessible small towns,Roman Catholic,,
East Ayrshire,8243026,St Xavier&apos;s Primary School,Primary,3.0,24,8,12,14,10,0,C,C,C,8,C,5,z,z,z,z,z,z,z,C,C,0,24,0,24,23,0,C,C,16,100,5,62.5,17,7,0,0,0,0,0-10%,0-10%,90-100%,0-10%,93.0,6.7,0.3,0.0,Accessible rural areas,Accessible rural areas,Roman Catholic,,
East Ayrshire,1004255,Whatriggs Primary School,Primary,26.0,457,17.6,25.4,208,249,55,57,63,73,79,68,62,z,z,z,z,z,z,z,110,347,C,C,0,457,434,C,16,C,327,100,25,19.2,182,222,18,29,6,0,90-100%,0-10%,0-10%,0-10%,89.9,8.5,1.6,0.0,Other urban areas,Other urban areas,Non-denominational,,
East Ayrshire,8244138,Doon Academy,Secondary,34.2,249,7.3,0,110,139,z,z,z,z,z,z,z,60,49,44,33,42,21,z,147,102,C,C,0,249,229,9,7,C,z,z,75,30.1,200,42,6,C,0,C,0-10%,0-10%,90-100%,0-10%,83.6,8.9,7.5,0.0,Accessible rural areas,Accessible rural areas,Non-denominational,,
East Ayrshire,8224234,Grange Academy,Secondary,90.2,1255,13.9,0,567,688,z,z,z,z,z,z,z,264,237,237,240,189,88,z,474,781,16,1239,0,1255,1162,27,57,9,z,z,237,18.9,405,171,215,116,348,0,70-80%,0-10%,10-20%,0-10%,84.7,7.7,7.6,0.0,Other urban areas,Other urban areas,Non-denominational,,
East Ayrshire,1004522,Kilmarnock Academy - William McIlvanney Campus,Secondary,87.6,1277,14.6,0,631,646,z,z,z,z,z,z,z,243,254,215,236,202,127,z,321,956,14,1263,238,1039,1203,19,45,10,z,z,230,18,444,330,153,199,151,0,90-100%,0-10%,0-10%,0-10%,83.3,8.6,8.1,0.0,Other urban areas,Other urban areas,Non-denominational,,
East Ayrshire,8223831,Loudoun Academy,Secondary,75.9,884,11.6,0,424,460,z,z,z,z,z,z,z,169,173,160,179,123,80,z,319,565,C,C,0,884,848,14,19,C,z,z,152,17.2,231,253,169,184,47,0,20-30%,40-50%,20-30%,0-10%,84.5,7.5,7.8,0.1,Accessible rural areas,Accessible rural areas,Non-denominational,,
East Ayrshire,1005014,Robert Burns Academy,Secondary,123.3,1666,13.5,0,870,796,z,z,z,z,z,z,z,282,318,329,331,277,129,z,537,1129,23,1643,0,1666,1579,16,50,21,z,z,363,21.8,681,430,367,103,85,0,0-10%,60-70%,30-40%,0-10%,82.2,7.2,10.5,0.1,Accessible small towns,Accessible small towns,Non-denominational,,
East Ayrshire,8224633,St Joseph&apos;s Academy,Secondary,51.2,662,12.9,0,361,301,z,z,z,z,z,z,z,119,138,123,120,99,63,z,239,423,52,610,0,662,528,45,84,5,z,z,141,21.3,257,136,113,88,67,C,70-80%,10-20%,0-10%,0-10%,85.0,6.8,8.2,0.1,Other urban areas,Other urban areas,Roman Catholic,,
East Ayrshire,8224730,Stewarton Academy,Secondary,62.2,895,14.4,0,450,445,z,z,z,z,z,z,z,169,157,171,173,149,76,z,301,594,8,887,0,895,840,23,25,7,z,z,89,9.9,16,173,167,423,115,C,0-10%,40-50%,40-50%,0-10%,88.7,7.1,4.2,0.0,Accessible small towns,Accessible small towns,Non-denominational,,
East Ayrshire,8224242,Crosshouse Communication Unit,Special,15.4,78,5.1,z,13,65,z,z,z,z,z,z,z,z,z,z,z,z,z,78,78,0,0,78,0,78,75,C,C,0,z,z,28,35.9,24,26,9,8,11,0,60-70%,10-20%,20-30%,0-10%,90.8,6.9,2.3,0.0,Accessible rural areas,Accessible rural areas,Non-denominational,,
East Ayrshire,8243743,Hillside School,Special,13.5,60,4.4,z,15,45,z,z,z,z,z,z,z,z,z,z,z,z,z,60,60,0,C,C,0,60,53,C,5,C,z,z,21,35,32,14,8,C,C,0,0-10%,40-50%,50-60%,0-10%,88.0,11.9,C,0.0,Accessible small towns,Accessible small towns,Non-denominational,,
East Ayrshire,8240140,Lochnorris SLC,Special,7.6,45,5.9,z,C,C,z,z,z,z,z,z,z,z,z,z,z,z,z,45,45,0,0,45,0,45,42,0,C,C,z,z,18,40,32,6,5,C,C,0,0-10%,60-70%,30-40%,0-10%,87.4,10.7,1.7,C,Accessible small towns,Accessible small towns,Non-denominational,,
East Ayrshire,1006304,Onthank SLC,Special,5.8,37,6.4,z,7,30,z,z,z,z,z,z,z,z,z,z,z,z,z,37,37,0,C,C,0,37,36,C,C,0,z,z,23,62.2,25,7,C,C,0,0,90-100%,0-10%,0-10%,0-10%,75.7,17.8,6.6,C,Other urban areas,Other urban areas,Non-denominational,,
East Ayrshire,8224943,Park School,Special,31.6,193,6.1,z,64,129,z,z,z,z,z,z,z,z,z,z,z,z,z,193,193,0,C,C,0,193,181,C,10,C,z,z,96,49.7,81,56,23,20,13,0,70-80%,10-20%,10-20%,0-10%,86.0,10.3,3.7,0.0,Other urban areas,Other urban areas,Non-denominational,,
East Ayrshire,8242143,Patna Supported Learning Project,Special,2.3,24,10.4,z,C,C,z,z,z,z,z,z,z,z,z,z,z,z,z,24,24,0,0,24,0,24,22,0,C,C,z,z,12,50,17,C,5,0,0,C,0-10%,20-30%,70-80%,0-10%,83.5,8.8,7.7,0.0,Accessible rural areas,Accessible rural areas,Non-denominational,,
East Ayrshire,8225044,Willowbank School,Special,22.5,114,5.1,z,32,82,z,z,z,z,z,z,z,z,z,z,z,z,z,114,114,0,C,C,0,114,106,6,C,C,z,z,36,31.6,38,32,21,12,11,0,60-70%,10-20%,10-20%,0-10%,89.6,8.0,2.4,0.0,Other urban areas,Other urban areas,Non-denominational,,
East Dunbartonshire,8350027,Baldernock Primary School,Primary,5.0,53,10.6,17.7,26,27,11,C,C,9,13,C,7,z,z,z,z,z,z,z,7,46,0,53,0,53,50,C,0,C,42,100,C,C,C,C,C,40,C,0,10-20%,0-10%,70-80%,0-10%,92.7,2.9,4.4,0.0,Accessible rural areas,Accessible rural areas,Non-denominational,,
East Dunbartonshire,8324123,Baljaffray Primary School,Primary,16.2,259,16,23.5,124,135,25,27,42,29,44,51,41,z,z,z,z,z,z,z,50,209,19,240,0,259,196,C,54,C,167,100,7,7.6,13,8,C,67,168,C,90-100%,0-10%,0-10%,0-10%,94.7,4.0,1.3,C,Large urban areas,Large urban areas,Non-denominational,,
East Dunbartonshire,8340226,Balmuildy Primary School,Primary,19.3,364,18.9,26,167,197,48,48,54,49,53,53,59,z,z,z,z,z,z,z,107,257,23,341,0,364,259,13,73,19,252,100,7,6.3,27,12,24,147,154,0,90-100%,0-10%,0-10%,0-10%,94.2,3.7,2.1,0.0,Large urban areas,Large urban areas,Non-denominational,,
East Dunbartonshire,8324026,Bearsden Primary School,Primary,20.9,425,20.3,28.3,212,213,47,76,60,57,61,61,63,z,z,z,z,z,z,z,83,342,17,408,0,425,321,27,73,C,301,100,6,4.8,C,6,C,6,408,0,90-100%,0-10%,0-10%,0-10%,96.2,2.7,1.1,0.0,Large urban areas,Large urban areas,Non-denominational,,
East Dunbartonshire,8324220,Castlehill Primary School,Primary,17.8,223,12.5,17.2,98,125,39,30,31,32,29,29,33,z,z,z,z,z,z,z,86,137,9,214,0,223,158,10,35,20,161,100,9,14.5,5,46,C,C,167,0,90-100%,0-10%,0-10%,0-10%,94.1,4.8,1.1,0.0,Large urban areas,Large urban areas,Non-denominational,,
East Dunbartonshire,8325227,Clober Primary School,Primary,18.4,312,17,24,149,163,32,32,46,54,52,47,49,z,z,z,z,z,z,z,39,273,5,307,0,312,254,11,37,10,216,100,11,11.5,C,57,81,39,133,C,90-100%,0-10%,0-10%,0-10%,95.0,3.5,1.5,C,Large urban areas,Large urban areas,Non-denominational,,
East Dunbartonshire,8324328,Colquhoun Park Primary School,Primary,11.9,158,13.3,22.6,74,84,22,23,21,23,22,22,25,z,z,z,z,z,z,z,47,111,7,151,0,158,121,6,22,9,111,100,7,14.9,38,C,C,12,102,0,90-100%,0-10%,0-10%,0-10%,93.1,5.2,1.6,C,Large urban areas,Large urban areas,Non-denominational,,
East Dunbartonshire,8326029,Craigdhu Primary School,Primary,13.1,193,14.7,24.1,93,100,25,23,28,24,24,38,31,z,z,z,z,z,z,z,34,159,C,C,0,193,155,9,12,17,124,100,C,C,C,19,16,8,149,C,90-100%,0-10%,0-10%,0-10%,95.5,3.0,1.5,0.0,Large urban areas,Large urban areas,Non-denominational,,
East Dunbartonshire,8350221,Craighead Primary School,Primary,14.8,242,16.4,22,120,122,47,27,26,36,41,31,34,z,z,z,z,z,z,z,31,211,C,C,0,242,217,7,12,6,177,100,0,0,C,18,75,144,C,0,0-10%,80-90%,10-20%,0-10%,94.3,4.1,1.6,0.0,Accessible small towns,Accessible small towns,Non-denominational,,
East Dunbartonshire,8336229,Gartconner Primary School,Primary,17.9,287,16,26.1,137,150,45,45,55,33,46,29,34,z,z,z,z,z,z,z,48,239,C,C,0,287,267,C,7,C,224,100,C,C,C,85,14,0,186,C,50-60%,0-10%,40-50%,0-10%,95.3,3.5,1.3,0.0,Other urban areas,Other urban areas,Non-denominational,,
East Dunbartonshire,8336520,Harestanes Primary School,Primary,20.0,171,8.5,13.2,87,84,19,19,22,22,25,33,31,z,z,z,z,z,z,z,47,124,C,C,0,171,158,C,7,C,107,100,18,28.1,17,112,35,C,6,C,90-100%,0-10%,0-10%,0-10%,91.6,6.0,2.4,0.1,Other urban areas,Other urban areas,Non-denominational,,
East Dunbartonshire,8336628,Hillhead Primary School,Primary,10.7,89,8.3,14.8,43,46,12,C,C,18,13,18,12,z,z,z,z,z,z,z,43,46,C,C,0,89,79,C,7,C,59,100,10,33.3,44,41,C,0,C,0,90-100%,0-10%,0-10%,0-10%,88.2,8.8,3.0,0.0,Other urban areas,Other urban areas,Non-denominational,,
East Dunbartonshire,8336725,Holy Family Primary School,Primary,20.3,346,17,26.6,171,175,41,39,48,53,49,54,62,z,z,z,z,z,z,z,58,288,12,334,0,346,267,13,46,20,230,100,11,9.5,12,92,7,42,193,0,60-70%,0-10%,30-40%,0-10%,95.3,3.5,1.3,0.0,Other urban areas,Other urban areas,Roman Catholic,,
East Dunbartonshire,1004115,Holy Trinity Primary School,Primary,18.0,310,17.2,25.8,148,162,40,47,29,62,46,43,43,z,z,z,z,z,z,z,81,229,20,290,0,310,259,11,40,0,224,100,19,22.1,82,155,24,8,41,0,70-80%,0-10%,10-20%,0-10%,93.1,5.7,1.3,0.0,Other urban areas,Other urban areas,Roman Catholic,,
East Dunbartonshire,8324425,Killermont Primary School,Primary,22.7,428,18.9,22.5,219,209,46,58,60,70,62,69,63,z,z,z,z,z,z,z,58,370,19,409,0,428,329,16,74,9,296,100,C,C,C,C,0,49,373,0,80-90%,0-10%,10-20%,0-10%,95.9,3.3,0.8,0.0,Large urban areas,Large urban areas,Non-denominational,,
East Dunbartonshire,8336822,Lairdsland Primary School,Primary,17.3,300,17.3,25,148,152,40,41,42,49,45,43,40,z,z,z,z,z,z,z,74,226,16,284,0,300,243,14,41,C,217,100,10,12,40,182,C,C,73,0,90-100%,0-10%,0-10%,0-10%,93.4,5.0,1.7,C,Other urban areas,Other urban areas,Non-denominational,,
East Dunbartonshire,8350329,Lennoxtown Primary School,Primary,11.3,120,10.6,17.1,68,52,24,16,14,16,16,10,24,z,z,z,z,z,z,z,47,73,8,112,0,120,101,8,10,C,86,100,7,20.6,37,23,25,35,0,0,0-10%,90-100%,0-10%,0-10%,93.8,4.8,1.4,0.0,Accessible small towns,Accessible small towns,Non-denominational,,
East Dunbartonshire,1003542,Lenzie Meadow Primary School,Primary,27.9,566,20.3,28.3,280,286,73,77,77,72,76,93,98,z,z,z,z,z,z,z,57,509,7,559,0,566,455,16,87,8,375,100,6,3.1,8,34,21,201,302,0,70-80%,0-10%,20-30%,0-10%,95.6,3.2,1.1,C,Other urban areas,Other urban areas,Non-denominational,,
East Dunbartonshire,8341826,Meadowburn Gaelic Unit,Primary,6.8,84,12.4,21,42,42,12,11,14,12,13,12,10,z,z,z,z,z,z,z,20,64,0,84,80,C,74,0,5,5,62,100,0,0,C,28,7,16,29,C,80-90%,0-10%,0-10%,0-10%,92.8,5.8,1.4,0.0,Large urban areas,Large urban areas,Non-denominational,,
East Dunbartonshire,8340323,Meadowburn Primary School,Primary,15.1,238,15.8,26.4,107,131,25,43,42,38,37,25,28,z,z,z,z,z,z,z,55,183,6,232,0,238,193,C,28,C,185,100,C,C,C,C,0,83,151,0,90-100%,0-10%,0-10%,0-10%,95.4,3.2,1.3,0.0,Large urban areas,Large urban areas,Non-denominational,,
East Dunbartonshire,8350922,Millersneuk Primary School,Primary,20.7,325,15.7,23.2,166,159,38,50,46,48,49,45,49,z,z,z,z,z,z,z,36,289,C,C,0,325,290,9,25,C,231,100,C,C,C,6,C,18,296,0,60-70%,0-10%,30-40%,0-10%,95.7,3.3,1.0,0.0,Other urban areas,Other urban areas,Non-denominational,,
East Dunbartonshire,8325022,Milngavie Primary School,Primary,20.3,367,18.1,26.2,185,182,52,48,55,47,53,47,65,z,z,z,z,z,z,z,56,311,12,355,0,367,295,25,38,9,255,100,8,7.1,C,31,14,71,249,C,90-100%,0-10%,0-10%,0-10%,95.2,4.8,0.0,0.0,Large urban areas,Large urban areas,Non-denominational,,
East Dunbartonshire,8324727,Mosshead Primary School,Primary,21.2,363,17.1,25.9,167,196,41,55,51,61,53,49,53,z,z,z,z,z,z,z,32,331,14,349,0,363,294,19,45,5,261,100,C,C,0,C,C,23,337,0,90-100%,0-10%,0-10%,0-10%,95.9,3.3,0.8,0.0,Large urban areas,Large urban areas,Non-denominational,,
East Dunbartonshire,8337020,Oxgang Primary School,Primary,18.4,220,12,22,99,121,23,36,36,26,26,40,33,z,z,z,z,z,z,z,59,161,C,C,0,220,200,6,12,C,147,100,13,17.8,51,89,0,C,77,C,80-90%,0-10%,0-10%,0-10%,92.4,5.8,1.8,C,Other urban areas,Other urban areas,Non-denominational,,
East Dunbartonshire,1004611,ST NICHOLAS&apos; PRIMARY,Primary,17.7,263,14.9,23.9,133,130,25,37,27,29,45,51,49,z,z,z,z,z,z,z,77,186,18,245,0,263,199,19,44,C,163,100,9,9,12,32,5,41,173,0,90-100%,0-10%,0-10%,0-10%,94.6,4.1,1.3,0.0,Large urban areas,Large urban areas,Roman Catholic,,
East Dunbartonshire,8340420,St Helen&apos;s Primary School - Bishopbriggs,Primary,19.8,322,16.3,24.8,168,154,33,39,54,44,54,51,47,z,z,z,z,z,z,z,67,255,31,291,0,322,247,11,56,8,224,100,9,9.2,19,63,32,68,140,0,90-100%,0-10%,0-10%,0-10%,93.6,4.5,1.8,0.0,Large urban areas,Large urban areas,Roman Catholic,,
East Dunbartonshire,8350426,St Machan&apos;s Primary School,Primary,13.2,153,11.6,21.9,74,79,12,19,26,15,27,24,30,z,z,z,z,z,z,z,42,111,C,C,0,153,128,C,9,C,99,100,6,11.1,23,34,37,59,0,0,0-10%,90-100%,0-10%,0-10%,93.4,4.9,1.7,C,Accessible small towns,Accessible small towns,Roman Catholic,,
East Dunbartonshire,8340528,St Matthew&apos;s Primary School - Bishopbriggs,Primary,14.2,250,17.6,25,122,128,25,23,44,39,35,52,32,z,z,z,z,z,z,z,39,211,C,C,0,250,212,15,22,C,166,100,5,6,14,14,20,75,127,0,90-100%,0-10%,0-10%,0-10%,94.8,3.8,1.4,0.0,Large urban areas,Large urban areas,Roman Catholic,,
East Dunbartonshire,1004123,Thomas Muir Primary School,Primary,32.6,623,19.1,29.7,309,314,74,79,90,93,94,94,99,z,z,z,z,z,z,z,54,569,43,580,0,623,421,18,166,18,430,100,18,9.3,8,158,5,138,314,0,90-100%,0-10%,0-10%,0-10%,94.2,4.1,1.7,C,Large urban areas,Large urban areas,Non-denominational,,
East Dunbartonshire,8350523,Torrance Primary School,Primary,10.1,173,17.1,24.7,86,87,25,24,24,19,27,30,24,z,z,z,z,z,z,z,67,106,C,C,0,173,146,5,20,C,119,100,C,C,0,11,C,156,C,0,0-10%,0-10%,90-100%,0-10%,93.7,4.5,1.7,C,Accessible rural areas,Accessible rural areas,Non-denominational,,
East Dunbartonshire,8338426,Twechar Primary School,Primary,9.3,85,9.1,17,36,49,12,C,10,17,11,C,14,z,z,z,z,z,z,z,43,42,C,C,0,85,74,C,6,C,56,100,12,41.4,C,82,0,0,C,0,0-10%,0-10%,90-100%,0-10%,90.3,7.0,2.7,0.0,Accessible rural areas,Accessible rural areas,Non-denominational,,
East Dunbartonshire,8340625,Wester Cleddens Primary School,Primary,24.3,329,13.5,20.6,152,177,49,47,46,41,33,56,57,z,z,z,z,z,z,z,134,195,20,309,0,329,252,10,55,12,216,100,6,5.3,15,31,10,69,204,0,90-100%,0-10%,0-10%,0-10%,94.9,3.7,1.4,C,Large urban areas,Large urban areas,Non-denominational,,
East Dunbartonshire,8324522,Westerton Primary School,Primary,15.2,273,18,24.8,132,141,28,36,42,44,36,38,49,z,z,z,z,z,z,z,42,231,10,263,0,273,217,7,44,5,186,100,C,C,10,7,C,126,127,C,90-100%,0-10%,0-10%,0-10%,95.9,3.2,0.9,0.0,Large urban areas,Large urban areas,Non-denominational,,
East Dunbartonshire,8325634,Bearsden Academy,Secondary,95.8,1230,12.8,0,598,632,z,z,z,z,z,z,z,205,210,209,209,209,188,z,354,876,63,1167,0,1230,957,52,186,35,z,z,71,5.8,24,73,17,117,999,0,90-100%,0-10%,0-10%,0-10%,92.5,5.4,2.1,0.0,Large urban areas,Large urban areas,Non-denominational,,
East Dunbartonshire,8340030,Bishopbriggs Academy,Secondary,107.4,1334,12.4,0,634,700,z,z,z,z,z,z,z,240,240,259,220,214,161,z,397,937,131,1203,70,1264,992,29,308,5,z,z,87,6.5,12,191,33,356,742,0,90-100%,0-10%,0-10%,0-10%,90.6,6.9,2.5,0.0,Large urban areas,Large urban areas,Non-denominational,,
East Dunbartonshire,8325936,Boclair Academy,Secondary,84.9,1040,12.2,0,483,557,z,z,z,z,z,z,z,174,176,180,182,178,150,z,237,803,58,982,0,1040,813,41,169,17,z,z,72,6.9,140,37,43,297,521,C,80-90%,0-10%,10-20%,0-10%,90.6,7.3,2.2,0.0,Large urban areas,Large urban areas,Non-denominational,,
East Dunbartonshire,8325731,Douglas Academy,Secondary,86.8,1036,11.9,0,513,523,z,z,z,z,z,z,z,174,175,180,180,176,151,z,300,736,49,987,0,1036,854,48,114,20,z,z,73,7,49,138,157,177,515,0,90-100%,0-10%,0-10%,0-10%,92.2,6.0,1.8,0.0,Large urban areas,Large urban areas,Non-denominational,,
East Dunbartonshire,8337632,Kirkintilloch High School,Secondary,72.1,808,11.2,0,410,398,z,z,z,z,z,z,z,150,164,149,156,117,72,z,295,513,32,776,0,808,717,18,56,17,z,z,179,22.2,151,365,94,66,132,0,70-80%,10-20%,10-20%,0-10%,85.5,9.2,5.3,0.0,Other urban areas,Other urban areas,Non-denominational,,
East Dunbartonshire,8338132,Lenzie Academy,Secondary,106.4,1371,12.9,0,690,681,z,z,z,z,z,z,z,232,238,240,239,234,188,z,515,856,131,1240,0,1371,1069,25,263,14,z,z,79,5.8,105,254,85,315,612,0,70-80%,0-10%,20-30%,0-10%,91.1,6.4,2.5,C,Other urban areas,Other urban areas,Non-denominational,,
East Dunbartonshire,8337934,St Ninian&apos;s High School - Kirkintilloch,Secondary,80.8,892,11,0,409,483,z,z,z,z,z,z,z,145,157,161,177,143,109,z,236,656,39,853,0,892,767,32,83,10,z,z,116,13,134,255,113,181,209,0,50-60%,20-30%,10-20%,0-10%,87.2,9.9,2.9,0.0,Other urban areas,Other urban areas,Roman Catholic,,
East Dunbartonshire,8342032,Turnbull High School,Secondary,61.3,670,10.9,0,355,315,z,z,z,z,z,z,z,115,114,118,120,111,92,z,318,352,53,617,0,670,531,23,98,18,z,z,62,9.3,107,88,47,151,277,0,90-100%,0-10%,0-10%,0-10%,90.5,7.7,1.8,0.0,Large urban areas,Large urban areas,Roman Catholic,,
East Dunbartonshire,1006088,Woodland View School,Special,54.8,212,3.9,z,60,152,z,z,z,z,z,z,z,z,z,z,z,z,z,212,212,0,7,205,0,212,165,C,36,C,z,z,35,16.5,17,69,12,38,76,0,70-80%,0-10%,10-20%,0-10%,91.5,7.0,1.6,0.0,Other urban areas,Other urban areas,Non-denominational,,
East Lothian,5552621,Aberlady Primary School,Primary,8.4,141,16.7,20.1,66,75,22,21,15,17,28,20,18,z,z,z,z,z,z,z,25,116,C,C,0,141,123,9,9,0,103,100,C,C,0,0,C,138,C,0,0-10%,0-10%,90-100%,0-10%,96.1,2.8,1.1,C,Accessible rural areas,Accessible rural areas,Non-denominational,,
East Lothian,5552729,Athelstaneford Primary School,Primary,3.7,49,13.1,16.3,31,18,9,7,8,9,C,8,C,z,z,z,z,z,z,z,15,34,0,49,0,49,43,C,C,C,36,100,0,0,0,C,28,16,C,0,0-10%,0-10%,90-100%,0-10%,94.9,3.6,1.5,0.0,Accessible rural areas,Accessible rural areas,Non-denominational,,
East Lothian,1005693,Blindwells Primary School,Primary,1.4,18,13.2,1.5,10,8,C,C,C,C,C,C,C,z,z,z,z,z,z,z,C,C,0,18,0,18,13,C,C,0,13,100,C,C,0,0,0,18,0,0,0-10%,0-10%,90-100%,0-10%,93.3,3.3,3.4,0.0,Accessible small towns,Accessible small towns,Non-denominational,,
East Lothian,5550122,Campie Primary School,Primary,17.5,341,19.5,24.4,181,160,44,44,39,61,51,55,47,z,z,z,z,z,z,z,83,258,31,310,0,341,259,32,41,9,239,100,14,13.7,5,152,95,54,35,0,90-100%,0-10%,0-10%,0-10%,93.0,4.2,2.8,C,Large urban areas,Large urban areas,Non-denominational,,
East Lothian,5552826,Cockenzie Primary School,Primary,16.9,309,18.3,22.1,152,157,46,44,31,50,44,42,52,z,z,z,z,z,z,z,74,235,C,C,0,309,289,9,7,C,215,100,17,18.1,10,60,96,34,109,0,10-20%,70-80%,0-10%,0-10%,94.1,3.7,2.1,0.0,Accessible small towns,Accessible small towns,Non-denominational,,
East Lothian,1005685,Craighall Primary School,Primary,1.0,23,23,3.3,9,14,7,6,C,C,C,C,C,z,z,z,z,z,z,z,7,16,C,C,0,23,17,C,C,C,19,100,C,C,0,C,22,0,0,C,0-10%,0-10%,90-100%,0-10%,93.9,4.6,1.6,C,Large urban areas,Large urban areas,Non-denominational,,
East Lothian,5552923,Dirleton Primary School,Primary,2.9,28,9.7,14,20,8,C,C,6,C,C,C,6,z,z,z,z,z,z,z,11,17,0,28,0,28,27,C,C,0,18,100,0,0,0,0,0,25,C,C,0-10%,0-10%,90-100%,0-10%,94.5,3.1,2.4,0.0,Accessible rural areas,Accessible rural areas,Non-denominational,,
East Lothian,5553024,Dunbar Primary School,Primary,50.6,906,17.9,23.2,421,485,121,105,127,145,141,124,143,z,z,z,z,z,z,z,264,642,19,887,0,906,818,46,41,C,639,100,19,7.1,5,162,440,190,109,0,60-70%,0-10%,30-40%,0-10%,92.9,5.1,2.0,C,Other urban areas,Other urban areas,Non-denominational,,
East Lothian,5553121,East Linton Primary School,Primary,9.8,182,18.5,22.8,88,94,32,27,26,26,23,25,23,z,z,z,z,z,z,z,27,155,C,C,0,182,155,16,10,C,134,100,C,C,0,C,C,90,88,0,0-10%,0-10%,90-100%,0-10%,94.8,4.0,1.2,0.0,Accessible rural areas,Accessible rural areas,Non-denominational,,
East Lothian,5553229,Elphinstone Primary School,Primary,2.9,43,14.8,21.5,19,24,6,8,C,C,8,6,7,z,z,z,z,z,z,z,15,28,0,43,0,43,41,0,C,C,30,100,C,C,0,20,C,16,C,0,10-20%,0-10%,80-90%,0-10%,94.4,5.0,0.5,C,Accessible rural areas,Accessible rural areas,Non-denominational,,
East Lothian,5553326,Gullane Primary School,Primary,13.3,237,17.8,21.5,116,121,29,41,32,34,40,28,33,z,z,z,z,z,z,z,67,170,C,C,0,237,199,21,16,C,176,100,C,C,C,0,C,151,84,0,0-10%,0-10%,90-100%,0-10%,93.9,4.5,1.6,0.0,Accessible rural areas,Accessible rural areas,Non-denominational,,
East Lothian,1004760,Haddington Primary School,Primary,35.4,697,19.7,24.9,360,337,76,98,94,111,106,123,89,z,z,z,z,z,z,z,333,364,28,669,0,697,618,39,33,7,485,100,24,11.3,C,139,218,215,123,C,80-90%,0-10%,10-20%,0-10%,94.1,4.1,1.8,C,Other urban areas,Other urban areas,Non-denominational,,
East Lothian,5553725,Innerwick Primary School,Primary,3.8,51,13.4,17,22,29,8,10,C,9,C,9,7,z,z,z,z,z,z,z,9,42,0,51,0,51,45,C,C,0,35,100,C,C,0,0,11,37,C,C,10-20%,0-10%,80-90%,0-10%,92.3,5.3,2.3,0.0,Accessible rural areas,Accessible rural areas,Non-denominational,,
East Lothian,5554225,Law Primary School,Primary,30.0,637,21.2,25.5,322,315,68,85,74,108,101,99,102,z,z,z,z,z,z,z,151,486,9,628,0,637,547,42,43,5,436,100,18,9,0,C,62,392,179,C,0-10%,40-50%,50-60%,0-10%,94.4,4.0,1.6,0.0,Accessible small towns,Accessible small towns,Non-denominational,,
