urn,status,reason,school_rows_updated,absence_inserted,absence_rows_updated,total_pupils,percentage_fsm,english_score,math_score,science_score,attendance_pct
6622106,ok,,1,0,1,49,,,,,
6622108,ok,,1,0,1,197,,,,,
6622110,ok,,1,0,1,208,,,,,
6622111,ok,,1,0,1,282,,,,,
6622112,ok,,1,0,1,251,,,,,
6622114,ok,,1,0,1,324,,,,,
6622115,ok,,1,0,1,128,,,,,
6622118,ok,,1,0,1,208,,,,,
6622121,ok,,1,0,1,304,,,,,
6622123,ok,,1,0,1,86,,,,,
6622132,ok,,1,0,1,64,,,,,
6622148,ok,,1,0,1,106,,,,,
6622221,ok,,1,0,1,288,,,,,
6622222,ok,,1,0,1,18,,,,,
6622225,ok,,1,0,1,122,,,,,
6622264,ok,,1,0,1,177,,,,,
6622267,ok,,1,0,1,205,,,,,
6622269,ok,,1,0,1,67,,,,,
6622270,ok,,1,0,1,42,,,,,
6622271,ok,,1,0,1,331,,,,,
6622272,ok,,1,0,1,250,,,,,
6622273,ok,,1,0,1,124,,,,,
6622274,ok,,1,0,1,397,,,,,
6622275,ok,,1,0,1,109,,,,,
6623020,ok,,1,0,1,111,,,,,
6623021,ok,,1,0,1,79,,,,,
6623024,ok,,1,0,1,150,,,,,
6623032,ok,,1,0,1,18,,,,,
6623038,ok,,1,0,1,68,,,,,
6623039,ok,,1,0,1,40,,,,,
6623040,ok,,1,0,1,61,,,,,
6623043,ok,,1,0,1,321,,,,,
6623059,ok,,1,0,1,148,,,,,
6623062,ok,,1,0,1,68,,,,,
6623302,ok,,1,0,1,85,,,,,
6623303,ok,,1,0,1,132,,,,,
6623307,ok,,1,0,1,240,,,,,
6623333,ok,,1,0,1,238,,,,,
6623340,ok,,1,0,1,74,,,,,
6624022,ok,,1,0,1,1118,,,,,
6624023,ok,,1,0,1,1065,,,,,
6624035,ok,,1,0,1,647,,,,,
6624038,ok,,1,0,1,673,,,,,
6625201,ok,,1,0,1,448,,,,,
6625400,ok,,1,0,1,962,,,,,
6625402,ok,,1,0,1,1225,,,,,
6625403,ok,,1,0,1,1022,,,,,
6627007,ok,,1,0,1,270,,,,,
6632011,ok,,1,0,1,215,,,,,
6632037,ok,,1,0,1,221,,,,,
6632038,ok,,1,0,1,434,,,,,
6632039,ok,,1,0,1,700,,,,,
6632059,ok,,1,0,1,395,,,,,
6632060,ok,,1,0,1,455,,,,,
6632066,ok,,1,0,1,410,,,,,
6632067,ok,,1,0,1,153,,,,,
6632070,ok,,1,0,1,40,,,,,
6632072,ok,,1,0,1,474,,,,,
6632124,ok,,1,0,1,56,,,,,
6632125,ok,,1,0,1,212,,,,,
6632127,ok,,1,0,1,70,,,,,
6632134,ok,,1,0,1,323,,,,,
6632135,ok,,1,0,1,48,,,,,
6632136,ok,,1,0,1,171,,,,,
6632164,ok,,1,0,1,39,,,,,
6632168,ok,,1,0,1,21,,,,,
6632214,ok,,1,0,1,21,,,,,
6632215,ok,,1,0,1,32,,,,,
6632216,ok,,1,0,1,92,,,,,
6632219,ok,,1,0,1,70,,,,,
6632227,ok,,1,0,1,350,,,,,
6632234,ok,,1,0,1,169,,,,,
6632255,ok,,1,0,1,224,,,,,
6632256,ok,,1,0,1,297,,,,,
6632261,ok,,1,0,1,98,,,,,
6632262,ok,,1,0,1,59,,,,,
6632263,ok,,1,0,1,165,,,,,
6632264,ok,,1,0,1,351,,,,,
6632265,ok,,1,0,1,468,,,,,
6632266,ok,,1,0,1,122,,,,,
6632267,ok,,1,0,1,119,,,,,
6632268,ok,,1,0,1,70,,,,,
6633020,ok,,1,0,1,75,,,,,
6633024,ok,,1,0,1,75,,,,,
6633044,ok,,1,0,1,65,,,,,
6633045,ok,,1,0,1,111,,,,,
6633050,ok,,1,0,1,108,,,,,
6633057,ok,,1,0,1,67,,,,,
6633061,ok,,1,0,1,46,,,,,
6633062,ok,,1,0,1,117,,,,,
6633316,ok,,1,0,1,70,,,,,
6634003,ok,,1,0,1,1161,,,,,
6634014,ok,,1,0,1,1484,,,,,
6634020,ok,,1,0,1,1016,,,,,
6634026,ok,,1,0,1,499,,,,,
6634027,ok,,1,0,1,1068,,,,,
6634031,ok,,1,0,1,1132,,,,,
6635901,ok,,1,0,1,474,,,,,
6635902,ok,,1,0,1,884,,,,,
6637000,ok,,1,0,1,109,,,,,
6637010,ok,,1,0,1,125,,,,,
6642002,ok,,1,0,1,151,,,,,
6642003,ok,,1,0,1,133,,,,,
6642004,ok,,1,0,1,208,,,,,
6642012,ok,,1,0,1,379,,,,,
6642013,ok,,1,0,1,84,,,,,
6642015,ok,,1,0,1,522,,,,,
6642018,ok,,1,0,1,234,,,,,
6642021,ok,,1,0,1,66,,,,,
6642024,ok,,1,0,1,227,,,,,
6642028,ok,,1,0,1,323,,,,,
6642032,ok,,1,0,1,169,,,,,
6642040,ok,,1,0,1,160,,,,,
6642041,ok,,1,0,1,206,,,,,
6642043,ok,,1,0,1,167,,,,,
6642044,ok,,1,0,1,59,,,,,
6642046,ok,,1,0,1,117,,,,,
6642049,ok,,1,0,1,164,,,,,
6642050,ok,,1,0,1,104,,,,,
6642051,ok,,1,0,1,94,,,,,
6642052,ok,,1,0,1,326,,,,,
6642053,ok,,1,0,1,360,,,,,
6642056,ok,,1,0,1,73,,,,,
6642061,ok,,1,0,1,119,,,,,
6642062,ok,,1,0,1,636,,,,,
6642063,ok,,1,0,1,459,,,,,
6642064,ok,,1,0,1,35,,,,,
6642065,ok,,1,0,1,80,,,,,
6642068,ok,,1,0,1,137,,,,,
6642077,ok,,1,0,1,392,,,,,
6642078,ok,,1,0,1,133,,,,,
6642081,ok,,1,0,1,61,,,,,
6642082,ok,,1,0,1,123,,,,,
6642084,ok,,1,0,1,181,,,,,
6642085,ok,,1,0,1,372,,,,,
6642086,ok,,1,0,1,329,,,,,
6642089,ok,,1,0,1,148,,,,,
6642091,ok,,1,0,1,269,,,,,
6642092,ok,,1,0,1,87,,,,,
6642093,ok,,1,0,1,167,,,,,
6642094,ok,,1,0,1,119,,,,,
6642237,ok,,1,0,1,53,,,,,
6642257,ok,,1,0,1,273,,,,,
6642266,ok,,1,0,1,124,,,,,
