School_Number,School_Name,LA_Code,Local_Authority,Sector,Governance,WM_Code,Welsh_Medium_Type,School_Type,Religious_Character,Address1,Address2,Address3,Address4,Postcode,Phone_Number,Pupils,fsm_3yr_pct,pupil_teacher_ratio,attendance_pct,school_budget_per_pupil,capped9_points,literacy_points,numeracy_points,science_points,welsh_bacc_points,estyn_report_url
6602174,Ysgol Gynradd Llandegfan,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Llandegfan,Porthaethwy,Ynys Môn,,LL59 5UW,01248713431,164,,,,,,,,,,
6602175,Ysgol Gynradd y Borth,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Porthaethwy,Ynys Môn,,,LL59 5DS,01248713000,212,,,,,,,,,,
6602176,Ysgol Gynradd Kingsland,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Caergybi,Ynys Môn,,,LL65 2TH,01407763295,175,,,,,,,,,,
6602177,Ysgol Gymraeg Morswyn,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Caergybi,Ynys Môn,,,LL65 2PU,01407762233,185,,,,,,,,,,
6602226,Ysgol Gynradd Corn Hir,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Llangefni,Ynys Môn,,,LL77 7JB,01248722558,315,,,,,,,,,,
6602227,Rhyd y Llan,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanfaethlu,Caergybi,Ynys Môn,,LL65 4PQ,01407887922,125,,,,,,,,,,
6602228,Ysgol Parc y Bont,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanddaniel Fab,,,Ynys Môn,LL60 6ES,01248422350,107,,,,,,,,,,
6603036,Cybi,660,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",Church in Wales,Ffordd Garreglwyd,,,CAERGYBI,LL65 1NS,01407883150,446,,,,,,,,,,
6603037,Ysgol Santes Dwynwen,660,Isle of Anglesey,Primary,Voluntary controlled,WM,Welsh medium,"Nursery, Infants & Juniors",Church in Wales,Niwbwrch,,,Ynys Môn,LL61 6TE,01248663894,113,,,,,,,,,,
6603304,Ysgol Santes Fair,660,Isle of Anglesey,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Roman Catholic,Longford Road,Holyhead,Anglesey,,LL65 1TR,01407763176,107,,,,,,,,,,
6604025,Ysgol Syr Thomas Jones,660,Isle of Anglesey,Secondary,Community,BB,Bilingual (Type B),Secondary (ages 11-19),---,Pentrefelin,Amlwch,Ynys Mon,,LL68 9TH,01407830287,539,,,,,,,,,,
6604026,Ysgol Uwchradd Caergybi,660,Isle of Anglesey,Secondary,Community,EW,English with significant Welsh,Secondary (ages 11-19),---,Caergybi,Ynys Môn,,,LL65 1NP,01407762219,843,,,,,,,,,,
6604027,Ysgol Gyfun Llangefni,660,Isle of Anglesey,Secondary,Community,BB,Bilingual (Type B),Secondary (ages 11-19),---,Llangefni,Ynys Môn,,,LL77 7NG,01248723441,736,,,,,,,,,,
6604028,Ysgol David Hughes,660,Isle of Anglesey,Secondary,Community,BB,Bilingual (Type B),Secondary (ages 11-19),---,Ffordd Pentraeth,Porthaethwy,Ynys Môn,,LL59 5SS,01248712287,1097,,,,,,,,,,
6604029,Ysgol Uwchradd Bodedern,660,Isle of Anglesey,Secondary,Community,BB,Bilingual (Type B),Secondary (ages 11-19),---,Bro Alaw,Bodedern,Caergybi,Ynys Môn,LL65 3TL,01407741000,766,,,,,,,,,,
6605200,Ysgol Caergeiliog,660,Isle of Anglesey,Primary,Foundation,DS,Dual Stream,"Nursery, Infants & Juniors",---,Caergeiliog,Caergybi,Ynys Môn,,LL65 3NP,01407740619,334,,,,,,,,,,
