School_Number,School_Name,LA_Code,Local_Authority,Sector,Governance,WM_Code,Welsh_Medium_Type,School_Type,Religious_Character,Address1,Address2,Address3,Address4,Postcode,Phone_Number,Pupils,fsm_3yr_pct,pupil_teacher_ratio,attendance_pct,school_budget_per_pupil,capped9_points,literacy_points,numeracy_points,science_points,welsh_bacc_points,estyn_report_url
6642040,Wood Memorial Primary School,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Boundary Lane,Saltney,Chester,Flintshire,CH4 8BT,01244671807,160,,,,,,,,,,
6642041,Sealand CP School,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Farm Road,Sealand,Deeside,Flintshire,CH5 2HH,01244830089,206,,,,,,,,,,
6642043,Sychdyn CP,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Vownog Road,Sychdyn,Mold,Flintshire,CH7 6ED,01352753654,167,,,,,,,,,,
6642044,Trelogan Primary,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Berthengam,Treffynnon,Sir Y Fflint,,CH8 9BZ,01745560432,59,,,,,,,,,,
6642046,Bryn Pennant CP,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Ffordd Pennant,Mostyn,Nr. Holywell,Flintshire,CH8 9NU,01745560274,117,,,,,,,,,,
6642049,Ysgol Bro Carmel,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Carmel Road,Carmel,Holywell,Flintshire,CH8 8NU,01352712234,164,,,,,,,,,,
6642050,Rhos Helyg School,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Rhosesmor,Mold,Flintshire,,CH7 6PJ,01352780265,104,,,,,,,,,,
6642051,Ysgol Terrig,664,Flintshire,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Ffordd y Llan,Treuddyn,Yr Wyddgrug,Sir Y Fflint,CH7 4LN,01352770235,94,,,,,,,,,,
6642052,Ysgol Bryn Deva,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Linden Avenue,Connah's Quay,Flintshire,,CH5 4SN,01244830080,326,,,,,,,,,,
6642053,Sandycroft CP,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Leaches Lane,Mancot,Deeside,Flintshire,CH5 2EH,01244532083,360,,,,,,,,,,
6642056,Gwernymynydd CP School,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Godre'r Coed,Gwernymynydd,Mold,Flintshire,CH7 4DT,01352756756,73,,,,,,,,,,
6642061,Queensferry Community Primary School,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Queens Ferry Campus, Queen's Ferry,Deeside,Flintshire,CH5 1SA,01244812136,119,,,,,,,,,,
6642062,Ysgol Bryn Coch,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Victoria Road,Mold,Flintshire,,CH7 1EW,01352752975,636,,,,,,,,,,
6642063,Mountain Lane Primary School,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Knowle Lane,Buckley,Flintshire,,CH7 3JA,01244550688,459,,,,,,,,,,
6642064,"Ysgol y Foel, Cilcain",664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Ffordd Y Llan,Cilcain,Mold,Flintshire,CH7 5NH,01352740197,35,,,,,,,,,,
6642065,Brynford CP,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Brynford,Holywell,Flintshire,,CH8 8AD,01352713184,80,,,,,,,,,,
6642068,Ysgol Bryn Gwalia,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Clayton Road,Mold,Flintshire,,CH7 1SU,01352752659,137,,,,,,,,,,
6642077,Golftyn CP School,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,York Road,Connah's Quay,Deeside,Flintshire,CH5 4XA,01244830569,392,,,,,,,,,,
6642078,Saltney Ferry CP,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Saltney Ferry Road,Saltney Ferry,Chester,Flintshire,CH4 0BN,01244680302,133,,,,,,,,,,
6642081,Y Waun,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Y Waen,Gwernaffield,Mold,Flintshire,CH7 5DP,01352740362,61,,,,,,,,,,
6642082,Ysgol Gwenffrwd,664,Flintshire,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Stryd Chwitffordd,Treffynnon,Sir Y Fflint,,CH8 7NJ,01352713158,123,,,,,,,,,,
6642084,Abermorddu CP School,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Cymau Road,Caergwrle,Nr. Wrexham,Flintshire,LL12 9DH,01978760647,181,,,,,,,,,,
6642085,Southdown CP,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Linderick Avenue,Buckley,Flintshire,,CH7 2NP,01244544473,372,,,,,,,,,,
6642086,Wepre Community School,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Llwyni Drive,Connah's Quay,Deeside,Flintshire,CH5 4NE,01244830104,329,,,,,,,,,,
6642089,Drury Primary School,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Beech Road,Drury,Buckley,Flintshire,CH7 3EG,01244543005,148,,,,,,,,,,
6642091,Cornist Park CP,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Ffordd yr Ysgol,Flint,,,CH6 5ET,01352735657,269,,,,,,,,,,
6642092,Ysgol Derwenfa CP,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Queen Street,Leeswood,Nr. Mold,Flintshire,CH7 4RQ,01352770477,87,,,,,,,,,,
6642093,Penarlag CP,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Carlines Avenue,Carlines Park,Ewloe,Flintshire,CH5 3RQ,01244533867,167,,,,,,,,,,
6642094,Owen Jones CP,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Ffordd Owen,Northop,Mold,Flintshire,CH7 6AU,01352840255,119,,,,,,,,,,
6642237,Gronant Primary School,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Nant Y Gro,Gronant,Nr. Prestatyn,Flintshire,LL19 9YP,01745856119,53,,,,,,,,,,
6642257,Ysgol Gymraeg Croes Atti,664,Flintshire,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Chester Road,Sir Y Fflint,,,CH6 5DU,01352733335,273,,,,,,,,,,
6642266,Ysgol Parc y Llan,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Ffordd Y Llan,Treuddyn,Mold,Flintshire,CH7 4LN,01352770304,124,,,,,,,,,,
6642267,Ysgol Mynydd Isa,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Chambers Lane,Bryn-Y-Baal,Mold,Flintshire,CH7 6SJ,01352752714,492,,,,,,,,,,
6642268,Broughton Primary School,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Broughton Hall Road,Broughton,Flintshire,,CH4 0QQ,01244533752,582,,,,,,,,,,
6642269,Ysgol Cae'r Nant,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Mold Road,Connah's Quay,Flintshire,,CH5 4QL,01244830708,343,,,,,,,,,,
6642270,Ysgol Penyffordd,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Penymynydd Road,Penyffordd,Flintshire,,CH4 0LQ,01244547214,350,,,,,,,,,,
6642271,Ysgol Ty Ffynnon,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Taliesin Avenue,Shotton,Flintshire,,CH5 1HP,01244830018,261,,,,,,,,,,
6642272,Ysgol Maes Y Felin,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Pen Y Maes Road,Holywell,Flintshire,,CH8 7EN,01352711366,288,,,,,,,,,,
6643002,Nannerch V.C.P. School,664,Flintshire,Primary,Voluntary controlled,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Nannerch Village,Nr Mold,Flintshire,,CH7 5RD,01352741377,43,,,,,,,,,,
6643303,Ysgol Yr Esgob C in W,664,Flintshire,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Lon-yr-ysgol,Caerwys,Mold,Flintshire,CH7 5AD,01352720287,56,,,,,,,,,,
6643306,St Mary's,664,Flintshire,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Roman Catholic,Ffordd Llewelyn,Pen Goch,Flintshire,,CH6 5JZ,01352733231,254,,,,,,,,,,
6643307,St Winefrides,664,Flintshire,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",Roman Catholic,Whitford Street,Holywell,Flintshire,,CH8 7NJ,01352713182,180,,,,,,,,,,
6643308,St David's Catholic Primary School,664,Flintshire,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Roman Catholic,St David's Lane,Mold,Flintshire,,CH7 1LH,01352752651,78,,,,,,,,,,
6643311,St Anthony's Catholic Primary,664,Flintshire,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Roman Catholic,High Street,Saltney,Flintshire,,CH4 8SG,01244680480,70,,,,,,,,,,
6643312,Venerable Edward Morgan RC,664,Flintshire,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Roman Catholic,Caernarfon Close,Shotton,Flintshire,,CH5 1AS,01244830408,187,,,,,,,,,,
6643316,Trelawnyd,664,Flintshire,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,London Road,Rhyl,Trelawnyd,Flintshire,LL18 6DL,01745570171,67,,,,,,,,,,
6643320,Ysgol y Llan VA Primary School Whitford,664,Flintshire,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Whitford,Holywell,Flintshire,,CH8 9AN,01745560431,81,,,,,,,,,,
6643330,St. Ethelwolds,664,Flintshire,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Melrose Avenue,Shotton,Deeside,Flintshire,CH5 1NG,01244812932,96,,,,,,,,,,
6643331,St John the Baptist VA School,664,Flintshire,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Chester Road,Penymynydd,Flintshire,,CH4 0EN,01244550838,108,,,,,,,,,,
6643332,Nercwys VA,664,Flintshire,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Village Road,Nercwys,Mold,Flintshire,CH7 4EL,01352752654,32,,,,,,,,,,
6643333,Hawarden Village VA,664,Flintshire,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Cross Tree Lane,Hawarden,Flintshire,,CH5 3PY,01244532091,421,,,,,,,,,,
6643334,Lixwm VA Church in Wales Primary School,664,Flintshire,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Lixwm Primary School,,Lixwm CP School,Lixwm Holywell,CH8 8NQ,01352780455,55,,,,,,,,,,
6644000,Hawarden High School,664,Flintshire,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,The Highway,Hawarden,Deeside,Flintshire,CH5 3DN,01244526400,1140,,,,,,,,,,
6644006,Alun School,664,Flintshire,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Wrexham Road,Mold,Flintshire,,CH7 1EP,01352750755,1538,,,,,,,,,,
6644011,Elfed High School,664,Flintshire,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Mill Lane,Buckley,Flintshire,,CH7 3HQ,01244550217,928,,,,,,,,,,
6644012,Ysgol Treffynnon,664,Flintshire,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,The Strand,Holywell,Flintshire,,CH8 7EN,01352710011,503,,,,,,,,,,
6644013,St. David's High School,664,Flintshire,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,St David's Terrace,Saltney,Chester,Flintshire,CH4 0AE,01244671583,343,,,,,,,,,,
6644017,Castell Alun High School,664,Flintshire,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Fagl Lane,Hope,Flintshire,,LL12 9PY,01978760238,1284,,,,,,,,,,
6644018,Maes Garmon,664,Flintshire,Secondary,Community,WM,Welsh medium,Secondary (ages 11-19),---,Stryd Conwy,Yr Wyddgrug,Sir Y Fflint,,CH7 1JB,01352750678,601,,,,,,,,,,
6644021,Flint High School,664,Flintshire,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Maes Hyfryd,Flintshire,,,CH6 5LL,01352732268,778,,,,,,,,,,
6644022,"Connah's Quay High School,",664,Flintshire,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Golftyn Lane,Connah's Quay,Flintshire,,CH5 4BH,01244813491,1072,,,,,,,,,,
6644042,Argoed School,664,Flintshire,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Bryn Road,Bryn Y Baal,Nr Mold,Flintshire,CH7 6RY,01352756414,551,,,,,,,,,,
6644600,St. Richard Gwyn Catholic High School,664,Flintshire,Secondary,Voluntary aided,EM,English medium,Secondary (ages 11-19),Roman Catholic,Albert Avenue,Flint,,,CH6 5JZ,01352736900,772,,,,,,,,,,
6645200,Derwen Foundation School,664,Flintshire,Primary,Foundation,EM,English medium,"Nursery, Infants & Juniors",---,Higher Kinnerton,Flintshire,,,CH4 9AJ,01244660291,192,,,,,,,,,,
6647020,Pen Coch,664,Flintshire,Special,Not Applicable,0 ,Not available,Special (without post-16 provision),---,Prince of Wales Avenue,Flint,Flintshire,,CH6 5DL,01352792730,99,,,,,,,,,,
6647021,Ysgol Maes Hyfryd,664,Flintshire,Special,Not Applicable,0 ,Not available,Special (with post-16 provision),---,Fifth Avenue,Flint,Flintshire,,CH6 5QL,01352792720,123,,,,,,,,,,
6651007,Ysgol Cae'r Gwenyn,665,Wrexham,Nursery,Not Applicable,0 ,Not available,Nursery,---,Prince Charles Road,Wrexham,,,LL13 8TH,01978356177,50,,,,,,,,,,
6652076,The Rofft CP School,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Wynnstay Lane,Marford,Wrexham,,LL12 8LA,01978853116,225,,,,,,,,,,
6652137,Froncysyllte,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Woodlands Road,Froncysyllte,Llangollen,Wrexham,LL20 7SU,01691773310,19,,,,,,,,,,
6652138,Garth CP,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Trevor,Llangollen,Wrexham,,LL20 7UY,01978820582,50,,,,,,,,,,
6652139,Ysgol Cynddelw,665,Wrexham,Primary,Community,DS,Dual Stream,"Nursery, Infants & Juniors",---,New Road,Glynceiriog,Llangollen,,LL20 7HH,01691718426,89,,,,,,,,,,
6652140,Llanarmon DC School,665,Wrexham,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanarmon Dyffryn,Ceiriog,Nr Llangollen,,LL20 7LF,01691600278,20,,,,,,,,,,
6652149,Ysgol Acrefair,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Tower View,Acrefair,Wrexham,,LL14 3SH,01978820616,215,,,,,,,,,,
6652151,Cefn Mawr C P School,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Plas Kynaston Lane,Cefn Mawr,Wrexham,,LL14 3PY,01978820719,195,,,,,,,,,,
6652160,Ysgol Maes-y-Llan,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Maes y Llan Lane,Ruabon,Wrexham,,LL14 6AE,01978820991,144,,,,,,,,,,
6652162,Ysgol Min y Ddol,665,Wrexham,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Lon Plas Kynmaston,Cefn Mawr,Wrexham,,LL14 3PY,01978820903,113,,,,,,,,,,
6652173,Alexandra C P School,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Park Avenue,Bodhyfryd,Wrexham,,LL12 7AZ,01978315120,366,,,,,,,,,,
6652176,Brynteg C P School,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Maesteg,Brynteg,Wrexham,,LL11 6NB,01978756398,177,,,,,,,,,,
6652178,BWLCHGWYN SCHOOL,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Brymbo Road,Bwlchgwyn,Wrexham,,LL11 5UA,01978269930,111,,,,,,,,,,
6652179,Ysgol Tan-y-Fron,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Tanyfron Road,Tanyfron,Wrexham,,LL11 5SA,01978758118,127,,,,,,,,,,
6652187,Black Lane C P School,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Long Lane,Pentre Broughton,Wrexham,,LL11 6BT,01978757959,153,,,,,,,,,,
6652191,Rhosddu County Primary,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Price's Lane,Rhosddu,Wrexham,,LL11 2NB,01978318830,289,,,,,,,,,,
6652200,Rhostyllen CP School,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,School Street,Rhostyllen,Wrexham,,LL14 4AN,01978352357,219,,,,,,,,,,
6652204,Ysgol Deiniol C P,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,The Ridgeway,Marchwiel,Wrexham,,LL13 0SB,01978353760,171,,,,,,,,,,
6652208,Barker's Lane CP,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Barker's Lane,Wrexham,,,LL13 9UN,01978357754,242,,,,,,,,,,
6652209,Wat's Dyke County Primary,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Garden Village,Wrexham,,,LL11 2TE,01978355731,296,,,,,,,,,,
6652224,Ysgol Bryn Tabor,665,Wrexham,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Heol Maelor,Coedpoeth,Wrecsam,,LL11 3NB,01978722180,221,,,,,,,,,,
6652232,Ysgol Sant Dunawd,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Sandown Road,Bangor-On-Dee,Wrexham,,LL13 0JA,01978780757,89,,,,,,,,,,
6652235,Holt C.P. School,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Chapel Street,Holt,Wrexham,,LL13 9DJ,01829270021,60,,,,,,,,,,
6652238,Ysgol Bodhyfryd,665,Wrexham,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Range Road,Wrexham,,,LL13 7DA,01978351168,315,,,,,,,,,,
6652259,Ysgol I.D. Hooson,665,Wrexham,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Heol Caradoc,Pentredwr,Rhos,Wrexham,LL14 2DX,01978832950,249,,,,,,,,,,
6652263,Ysgol Plas Coch,665,Wrexham,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Ffordd Stansty,Plas Coch,Wrexham,,LL11 2BU,01978311198,306,,,,,,,,,,
6652266,Penygelli C P School,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Heol Glyndwr,Coedpoeth,Wrexham,,LL11 3HA,01978722160,261,,,,,,,,,,
6652267,Ysgol Penrhyn New Broughton CP,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,School Lane,New Broughton,Wrexham,,LL11 6SF,01978269920,211,,,,,,,,,,
6652268,Ysgol Heulfan,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Sunny View,Gwersylit,Wrexham,,LL11 4HS,01978722040,342,,,,,,,,,,
6652269,Hafod y Wern Community Primary School,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Deva Way,Caia Park,Wrexham,,LL13 9HD,01978367080,270,,,,,,,,,,
6652270,Gwenfro Community Primary,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Queensway,Wrexham,,,LL13 8UW,01978340380,321,,,,,,,,,,
6652271,Park Community Primary School Llay,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,School Road,Llay,Wrexham,,LL12 0TR,01978859100,350,,,,,,,,,,
6652272,Rhosymedre Community Primary,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Parc Road,Rhosymedre,Wrexham,,LL14 3EG,01978812510,230,,,,,,,,,,
6652273,Ysgol Maes y Mynydd,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Pentredwr,Rhosllanerchrugog,Wrexham,,LL14 1DD,01978832970,285,,,,,,,,,,
6652274,Gwersyllt Community Primary School,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Dodds Lane,Gwersyllt,Wrexham,,LL11 4NT,01978269520,248,,,,,,,,,,
6652275,Penycae Community Primary School,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Afoneitha Road,Penycae,Wrexham,,LL14 2PF,01978840509,187,,,,,,,,,,
6652276,Acton Primary,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Box Lane,Wrexham,,,LL12 8BT,01978318950,334,,,,,,,,,,
6652277,Victoria Community Primary,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Poyster Street,Wrexham,,,LL13 7RP,01978360060,451,,,,,,,,,,
6652278,Ysgol Y Waun,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Lloyds Lane,Chirk,Wrexham,,LL14 5NH,01691770530,325,,,,,,,,,,
6652279,Ysgol Bro Alun,665,Wrexham,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Delamere Avenue,Gwersyllt,Wrexham,,LL11 4NG,01978269580,280,,,,,,,,,,
6652280,"Ysgol Yr Hafod, Johnstown",665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---, BANGOR ROAD,JOHNSTOWN,Wrexham,,LL14 2SW,01978840643,337,,,,,,,,,,
6652281,Borras Park Community Primary,665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---, BORRAS PARK ROAD,Borras Park,Wrexham,,LL12 7TH,01978346890,440,,,,,,,,,,
6652282,Ysgol Llan y pwll,665,Wrexham,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",Not available,Ysgol Llan-y-pwll,Borras Park Road,,Wrexham,LL12 7TH,01978594101,22,,,,,,,,,,
6653028,St Peter's School,665,Wrexham,Primary,Voluntary controlled,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Chapel Lane,Rossett,Wrexham,,LL12 0EE,01244570594,201,,,,,,,,,,
6653036,Pentre CIW Voluntary Controlled,665,Wrexham,Primary,Voluntary controlled,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Pentre,Chirk,Wrexham,,LL14 5AW,01691773322,47,,,,,,,,,,
6653042,Eyton Primary School,665,Wrexham,Primary,Voluntary controlled,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Bangor Road,Eyton,Wrexham,,LL13 0YD,01978823392,52,,,,,,,,,,
6653054,BORDERBROOK SCHOOL,665,Wrexham,Primary,Voluntary controlled,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Talwrn Green,Malpas,Willington,Wrexham,SY14 7LJ,01948770676,16,,,,,,,,,,
6653055,St Giles Controlled Primary School,665,Wrexham,Primary,Voluntary controlled,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Madeira Hill ,Wrexham,,,LL13 7DG,01978318880,380,,,,,,,,,,
6653301,BRONINGTON CHURCH IN WALES V.A,665,Wrexham,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,School Lane,Bronington,Whitchurch,Wrexham,SY13 3HN,01948780283,46,,,,,,,,,,
6653305,Madras VA School,665,Wrexham,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Penley,Wrexham,,,LL13 0LU,01978710419,124,,,,,,,,,,
6653326,St Chad's Church in Wales Aided School,665,Wrexham,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Hanmer,Whitchurch,Wrexham,,SY13 3DG,01948830238,101,,,,,,,,,,
6653334,St Mary's RC Primary,665,Wrexham,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Roman Catholic,Lea Road,Wrexham,,,LL13 7NA,01978352406,359,,,,,,,,,,
6653337,Minera,665,Wrexham,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Minera Hall Road,Minera,Wrexham,,LL11 3YE,01978269500,102,,,,,,,,,,
6653338,All Saints Voluntary Aided Sch,665,Wrexham,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,School Hill,Gresford,Wrexham,,LL12 8RW,01978852342,343,,,,,,,,,,
6653341,St Mary's Church in Wales,665,Wrexham,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Park Street,Ruabon,Wrexham,,LL14 6LE,01978820979,204,,,,,,,,,,
6653342,Brymbo Aided (St. Mary's),665,Wrexham,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Ael y Bryn,Brymbo,Wrexham,,LL11 5DA,01978722970,131,,,,,,,,,,
6653343,St Anne's Catholic Primary,665,Wrexham,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Roman Catholic,Prince Charles Road,Wrexham,,,LL13 8TH,01978261623,179,,,,,,,,,,
6653346,St Mary's Overton,665,Wrexham,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,School Lane,Overton On Dee,Wrexham,,LL13 0ES,01978710370,154,,,,,,,,,,
6653347,St Paul's Voluntary Aided,665,Wrexham,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Bowling Bank,Isycoed,Wrexham,,LL13 9RL,01978661556,35,,,,,,,,,,
6654029,Grango,665,Wrexham,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Vinegar Hill,Rhos,Wrexham,,LL14 1EL,01978833010,575,,,,,,,,,,
6654032,YSGOL MORGAN LLWYD,665,Wrexham,Secondary,Community,WM,Welsh medium,Secondary (ages 11-19),---,Ffordd Cefn,Wrecsam,,,LL13 9NG,01978315050,889,,,,,,,,,,
6654033,Ysgol Bryn Alyn,665,Wrexham,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Church Street,Gwersyllt,Wrexham,,LL11 4HB,01978720700,677,,,,,,,,,,
6654034,Darland High School,665,Wrexham,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Chester Road,Rossett,Wrexham,,LL12 0DL,01244570588,735,,,,,,,,,,
6654044,Ysgol Rhiwabon,665,Wrexham,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Ruabon,Wrexham,,,LL14 6BT,01978822392,519,,,,,,,,,,
6654048,Rhosnesni High School,665,Wrexham,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Rhosnesni Lane,Wrexham,,,LL13 9ET,01978340840,1082,,,,,,,,,,
6654049,Ysgol Clywedog,665,Wrexham,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Ruthin Road,Wrexham,,,LL13 7UB,01978346800,843,,,,,,,,,,
