Reference,School Name,% attendance,% absence,% authorised absence,% unauthorised absence
2036149,"St Finlough's Primary School, Sistrakeel",92.8,7.3,7.1,0.2
2036153,"St Scire's Primary School, Trillick",95.7,4.3,3.7,0.6
2036181,"St Mary's Primary School, Teemore",96,4.1,4.1,0
2036186,"St Dympna's Primary School, Dromore",95.7,4.3,4.2,0.2
2036187,"St John's Primary School, Dernaflaw",95.5,4.5,4,0.5
2036213,"St Columban's Primary School, Belcoo",95.7,4.3,3.7,0.6
2036227,"St Paul's Primary School, Slievemore",90.6,9.4,4.6,4.9
2036247,"St Columba's Primary School, Newbuildings",94.3,5.7,3.7,2
2036258,"St Davog's Primary School, Belleek",92.6,7.4,6.4,1
2036259,"Sacred Heart Primary School, Trench Road",92.8,7.2,2.8,4.5
2036288,"Good Shepherd Primary School, Derry",94.2,5.8,4.2,1.6
2036291,"St Oliver Plunkett Primary School, Beragh",96.2,3.9,3.9,0
2036356,"St Mary's Primary School, Tempo",94.4,5.6,4.3,1.3
2036415,"Our Lady of Lourdes Primary School, Greencastle",96.3,3.7,3.3,0.4
2036449,"Christ the King Primary School, Omagh",86,14,7,7
2036458,"St Mary's Primary School, Gortnaghey",96,4,2.9,1.2
2036459,"St Theresa's Primary School, Glebe",94.7,5.3,4.2,1.1
2036461,"St Therese Primary School, Lenamore",88.5,11.5,9.3,2.2
2036465,"Chapel Road Primary School, Londonderry",92.5,7.5,6.2,1.3
2036472,"Holy Family Primary School, Derry",93.3,6.7,5.2,1.5
2036473,"St Eithne's Primary School, Londonderry",93.4,6.6,5.5,1.2
2036475,Longtower Primary School,91.9,8.1,7.5,0.6
2036533,"Hollybush Primary School, Culmore",94.4,5.6,3.7,1.9
2036555,"St Eugene's Primary School, Derry",92.2,7.9,7.3,0.6
2036557,"All Saint's Primary School, Tattysallagh",93.1,6.9,3,3.9
2036574,"Bunscoil Cholmcille, Derry",91.3,8.7,5.2,3.5
2036581,"St Patrick's Primary School, Pennyburn",92.4,7.7,5.4,2.3
2036632,"Holy Trinity Primary School, Mill Street",93.2,6.8,4.5,2.3
2036659,"St Macartan's Primary School, Roslea",95.1,4.9,2.8,2.2
2036674,"Holy Family Primary School, Omagh",88.3,11.7,5.9,5.8
2036696,"St Mary's Primary School, Strabane",90.8,9.2,4.3,4.9
2036703,St Catherine’s Primary School,91,9,4.4,4.6
2036711,Our Lady of Fatima Primary School,94,6,3.8,2.2
2036712,"St Michael's Primary School, Dunamanagh",96.1,3.9,2.9,1
2046638,"Gaelscoil Ui Dhochartaigh, Strabane",93.3,6.7,5.3,1.4
2046646,"Gaelscoil Eadain Mhoir, Derry",92.4,7.6,4.4,3.2
2046669,"Bunscoil an Traonaigh, Lisnaskea",94.5,5.5,4.9,0.5
2046677,"Gaelscoil Na gCrann, Omagh",92.8,7.2,3,4.2
2046687,"Gaelscoil Na Daroige, Derry",94.3,5.7,2.5,3.2
2046689,"Gaelscoil Leim An Mhadaidh, Limavady",95.8,4.2,3.6,0.6
2056442,Sion Mills Primary School,90.9,9.1,6.4,2.7
2066549,Enniskillen Integrated Primary School,95.5,4.5,4.2,0.3
2066552,Omagh Integrated Primary School,94.5,5.5,2.8,2.6
2066558,Oakgrove Integrated Primary School,93.1,6.9,3.7,3.2
2066665,"Roe Valley Integrated Primary School, Limavady",91.9,8.1,3.3,4.8
3010404,"Tildarg Primary School, Ballyclare",96.7,3.3,2.1,1.2
3010486,Larne & Inver Primary School,93.2,6.8,3.7,3.1
3010553,"Carrickfergus Model Primary School, Carrickfergus",95.1,5,3.4,1.6
3010558,"Duneane Primary School, Toomebridge",96.2,3.8,3.3,0.5
3010572,"Carrowreagh Primary School, Ballymoney",94.7,5.4,4,1.4
3010594,"Garryduff Primary School, Ballymoney",97,3,2.6,0.4
3010631,Ballyclare Primary School,94,6,3.5,2.6
3010642,"Parkgate Primary School, Ballyclare",93.8,6.3,4.9,1.4
3010646,"Olderfleet Primary School, Larne",92.3,7.7,5,2.7
3010696,"Woodburn Primary School, Carrickfergus",94.4,5.6,4.4,1.2
3010714,"Buick Memorial Primary School, Ballymena",92.4,7.6,4,3.6
3010726,Dunseverick Primary School,94,6,3.7,2.4
3010741,"Creavery Primary School, Antrim",94.6,5.4,4.5,0.9
3010745,"Loanends Primary School, Crumlin",94.8,5.2,3.1,2.1
3010754,"Doagh Primary School, Ballyclare",93.2,6.8,2.8,4
3010779,"The Thompson Primary School, Ballyclare",96.2,3.8,2.8,1
3010780,"Kirkinriola Primary School, Ballymena",93.2,6.8,5.6,1.2
3010781,"Harryville Primary School, Ballymena",78.8,21.2,4.9,16.3
3010785,"Eden Primary School, Carrickfergus",94.7,5.3,3.1,2.2
3010787,"Lislagan Primary School, Ballymoney",95.2,4.8,3.3,1.4
3010794,"Gracehill Primary School, Ballymena",95.7,4.4,2.3,2.1
3010795,"Landhead Primary School, Ballymoney",94.3,5.8,3.5,2.3
3010796,"Eden Primary School, Ballymoney",93.5,6.5,3.9,2.6
3010802,Ballynure Primary School,96,4,2.9,1.1
3010804,"Straidbilly Primary School, Ballymoney",94.9,5.2,4.3,0.8
3010808,"Glynn Primary School, Larne",94.9,5.1,3.8,1.2
3010809,"Ballycarry Primary School, Carrickfergus",95.9,4.1,2.7,1.4
3010816,Randalstown Central Primary School,94.6,5.4,4.4,1
3010817,"Greenisland Primary School, Carrickfergus",96.4,3.6,2.9,0.7
3010818,"Moorfields Primary School, Ballymena",95.4,4.6,2.5,2
3010822,"Groggan Primary School, Randalstown",94.5,5.5,3,2.5
3010825,"Carnaghts Primary School, Shankbridge",94.4,5.6,3.4,2.2
3010826,"The Diamond Primary School, Cullybackey",96.3,3.7,2.5,1.1
3010827,"Whitehouse Primary School, Newtownabbey",91.5,8.5,3.5,5
3010828,"Kilbride Central Primary School, Ballyclare",92.3,7.7,4,3.7
