Reference,School Name,% attendance,% absence,% authorised absence,% unauthorised absence
4016104,Moira Primary School,96.8,3.2,2.4,0.8
4016111,"Towerview Primary School, Bangor",94.6,5.4,4.1,1.4
4016123,"Spa Primary School, Ballynahinch",96.6,3.4,3.1,0.3
4016126,"Andrews Memorial Primary School, Newtownards",95.4,4.6,2.5,2.1
4016144,"Old Warren Primary School, Lisburn",91.6,8.4,3.6,4.8
4016145,"Killowen Primary School, Lisburn",92.7,7.3,2.5,4.8
4016192,"Kilmaine Primary School, Bangor",95.3,4.7,3.2,1.5
4016201,"Academy Primary School, Ballynahinch",95.5,4.5,3.2,1.3
4016202,Ballinderry Primary School,95.1,4.9,3.5,1.4
4016235,Downpatrick Primary School,90.1,9.9,3.5,6.4
4016396,"Killinchy Primary School, Newtownards",95.2,4.8,3.2,1.6
4016399,"Abbey Primary School, Newtownards",94.3,5.7,3.8,1.9
4016401,"Pond Park Primary School, Lisburn",94.7,5.4,4.3,1.1
4016417,Maghaberry Primary School,94.4,5.6,4,1.6
4016430,"Ballymagee Primary School, Bangor",94.7,5.3,3.1,2.2
4016441,"Ballymacash Primary School, Lisburn",93.7,6.4,3.3,3
4016503,"Brooklands Primary School, Belfast",88.7,11.3,4.4,6.9
4016615,Riverdale Primary School,95.7,4.3,3,1.3
4016636,Meadow Bridge Primary School,94.9,5.1,3.7,1.4
4016649,"Downshire Primary School, Hillsborough",95.4,4.6,3,1.7
4016650,"Cumran Primary School, Downpatrick",93.5,6.5,4.6,1.9
4016681,"Glasswater Primary School, Downpatrick",94.2,5.8,4.3,1.4
4030573,"Ballymacward Primary School, Lisburn",93.3,6.7,5.1,1.6
4030823,"Ballymacrickett Primary School, Glenavy",94.5,5.5,4.4,1.2
4030897,"St Joseph's Primary School, Lisburn",95.3,4.7,3.2,1.5
4031328,"Christ the King Primary School, Drumaness",93.5,6.5,4.3,2.2
4031350,"St Malachy's Primary School, Kilclief",93.7,6.4,5.9,0.4
4031485,"St Caolan's Primary School, Saintfield",95.5,4.5,4.4,0.1
4031526,"St Patrick's Primary School, Saul",94.9,5.1,3.5,1.5
4031531,"St Francis' Primary School, Drumaroad",94.8,5.2,3.5,1.6
4031550,"St Joseph's Primary School, Crossgar",92.8,7.2,4.5,2.7
4031628,"St Patrick's Primary School, Holywood",95.5,4.5,3.2,1.3
4031660,"St Joseph's Primary School, Carryduff",96.6,3.4,3,0.4
4031662,"St Mary's Primary School, Comber",93.1,6.9,5.2,1.7
4031663,"St Joseph's Primary School, Carnacaville",94.1,5.9,3.2,2.7
4031665,"St Patrick's Primary School, Ballynahinch",93.8,6.2,4.3,1.9
4031671,"St Patrick's Primary School, Castlewellan",94,6,5.9,0.1
4031673,"St Mary's Primary School, Ardglass(Dunsford",93.5,6.6,3.9,2.6
4031676,"St Bernards Primary School, Belfast",96.4,3.7,3,0.7
4033002,"St Mary's Primary School, Aughlisnafin",94.4,5.6,5.5,0.1
4033005,"St Joseph's Primary School, Strangford",93.8,6.2,5.8,0.3
4033007,"St Macartan's Primary School, Downpatrick",94.8,5.2,3.7,1.5
4033012,"Holy Family Primary School, Downpatrick",94.3,5.7,4.6,1.2
4033017,"St Finian's Primary School, Newtownards",92.7,7.3,3.2,4.1
4033028,"St Patrick's Primary School, Ballygalget",94.9,5.1,3.9,1.2
4033036,"St Mary's Primary School, Killyleagh",92.7,7.3,5.5,1.9
4033037,"St Joseph's Primary School, Tyrella",89.1,10.9,10.9,0
4033040,"St Brigid's Primary School, Downpatrick",93.5,6.6,6.5,0
4033306,"St Aloysius Primary School, Lisburn",92.8,7.3,3.7,3.5
4033307,"St Colman's Primary School, Lisburn",94.6,5.4,3.3,2.1
4036016,"St Joseph's Primary School, Killough",91.8,8.2,5.2,3.1
4036036,"St Malachy's Primary School, Kilcoo",94.3,5.7,5.1,0.6
4036113,"St Nicholas' Primary School, Downpatrick",90.4,9.7,4.1,5.6
4036133,"Sacred Heart Primary School, Newcastle",91.9,8.1,8.1,0
4036146,"St Comgall's Primary School, Bangor",95.3,4.7,3.4,1.4
4036148,"St Malachy's Primary School, Bangor",92.8,7.2,4.6,2.6
4036182,St Colmcille's Primary School,89.5,10.5,9.6,0.9
4036285,"Good Shepherd Primary School, Belfast",89.3,10.7,4.2,6.5
4036428,"St Mary's Primary School, Kircubbin",93.4,6.6,4.8,1.8
4036454,"St Malachy's Primary School, Castlewellan",93.4,6.7,6.5,0.1
4036455,"St Patrick's Primary School, Legamaddy",93,7,4.1,2.9
4036480,St Kieran's Primary School,86.1,13.9,13.4,0.5
4036530,"St Mary's Primary School, Portaferry",92.1,7.9,5.3,2.6
4036591,"Our Lady Queen of Peace Primary School, Belfast",92.7,7.4,3.7,3.7
4036618,"Christ The Redeemer Primary School, Dunmurry",91.7,8.3,4.8,3.4
4036635,"St Mary's Primary School, Newcastle",93.4,6.6,5.8,0.8
4036642,"St Ita's Primary School, Belfast",96.5,3.5,2.5,1
4036693,"Our Lady & St Patrick Primary School, Downpatrick",90,10,3.9,6.1
4036702,"Holy Evangelist Primary School, Belfast",89.3,10.7,4.8,5.9
4046600,Scoil Na Fuiseoige,92.4,7.6,7.5,0.2
4046648,"Bunscoil Bheanna Boirche, Castlewellan",93.8,6.2,4.6,1.6
4051569,"Kircubbin Integrated Primary School, Newtownards",93.2,6.8,3.8,3
4051601,Portaferry Integrated Primary School,90.9,9.1,8.6,0.5
4051680,Bangor Central Integrated Primary School,92.4,7.7,4.2,3.5
4053009,"Annsborough Integrated Primary School, Castlewellan",94.7,5.3,4.4,1
4053020,"Glencraig Integrated Primary School, Holywood",96,4,2.1,1.9
4053308,"Fort Hill Integrated Primary School, Lisburn",91.2,8.8,5.9,2.9
4056541,"All Children's Integrated Primary School, Newcastle",93.7,6.3,5.1,1.2
4056709,"Killyleagh Integrated Primary School, Downpatrick",91.7,8.3,4.1,4.2
4056710,"Loughries Integrated Primary School, Newtownards",94.3,5.7,3.9,1.8
4066579,"Loughview Integrated Primary School, Belfast",95.7,4.3,2.8,1.5
4066588,"Cedar Integrated Primary School, Crossgar",94.2,5.8,4.4,1.4
4066611,Oakwood Integrated Primary School,92.5,7.5,4.5,3
4066644,"Millennium Integrated Primary School, Saintfield",94.2,5.9,4.1,1.8
4066668,"Drumlins Integrated Primary School, Ballynahinch",92.6,7.4,4.4,3
4066682,"Rowandale Integrated Primary School, Moira",95.8,4.2,3.7,0.5
4610063,Regent House Preparatory,94.8,5.2,3.5,1.7
4620044,"Sullivan Upper Preparatory, Holywood",96.5,3.5,2.5,1
4620050,"Friends' School Preparatory, Lisburn",96.2,3.8,2.6,1.2
4620051,"Wallace High Preparatory, Lisburn",96.3,3.7,2.5,1.3
5010909,"Foley Primary School, Tassagh",96.9,3.1,3.1,0
5011019,"Mullaglass Primary School, Newry",94.9,5.1,4.1,1
5011095,"Mullavilly Primary School, Tandragee",94.7,5.3,3.2,2
5011112,"Hardy Memorial Primary School, Richhill",95.4,4.6,4.3,0.3
5011115,"The Armstrong Primary School, Armagh",91.7,8.3,2.4,5.9
5011116,"Tandragee Primary School, Tandragee",94,6,4.4,1.6
5011119,Darkley Primary School,93.2,6.8,5.9,0.9
5011124,"King's Park Primary School, Lurgan",93.6,6.5,3.3,3.1
5011127,"Carrick Primary School, Lurgan",90.6,9.4,4.3,5.1
5011129,"Hart Memorial Primary School, Portadown",92,8,4.3,3.7
5011132,"Killylea Primary School, Armagh",95.5,4.5,3.6,0.9
5011137,Newtownhamilton Primary School,94.7,5.3,2.8,2.5
5011142,"Clare Primary School, Tandragee",95.6,4.4,2.9,1.5
5011153,"Lisnadill Primary School, Armagh",96.6,3.4,2.4,1
5011157,"Derryhale Primary School, Portadown",95.2,4.8,2.8,2
5011161,Mountnorris Primary School,95.7,4.3,3.9,0.5
5011165,Richmount Primary School,94.4,5.6,4.2,1.4
5011174,"Birches Primary School, Portadown",95.9,4.1,2.9,1.2
5011175,"Cortamlet Primary School, Altnamackin",95.6,4.4,3.4,1
5011179,"Bessbrook Primary School, Newry",91.7,8.3,5.5,2.8
5011189,"Edenderry Primary School, Portadown",92,8,3.5,4.5
5011190,"Tullygally Primary School, Craigavon",89.3,10.7,5.2,5.6
5011520,"Dromore Road Primary School, Warrenpoint",92.5,7.5,3.8,3.7
5011575,Dromore Central Primary School,94.5,5.6,2.8,2.7
5011594,"Abercorn Primary School, Banbridge",94.2,5.8,2.3,3.6
5011596,"Gilford Primary School, Craigavon",92.9,7.1,3.9,3.3
5011598,"Waringstown Primary School, Waringstown",95.3,4.7,2.8,1.9
5011602,"Bleary Primary School, Lurgan",95.7,4.3,2.9,1.4
5011611,"Iveagh Primary School, Newry, Rathfriland",92.9,7.1,6.3,0.8
5011617,"Ballydown Primary School, Banbridge",95.4,4.7,2.7,2
5011649,Kilkeel Primary School,92.4,7.6,3.8,3.8
5011651,Milltown Primary School,94.7,5.4,3.7,1.7
5011664,"Scarva Primary School, Scarva",95.3,4.7,4.1,0.6
5011684,"Annalong Primary School, Newry",95.4,4.6,3.6,1
5011687,"Maralin Village Primary School, Craigavon",94.7,5.3,3.8,1.5
5012280,Moneymore Primary School,95.1,4.9,3.1,1.8
5012538,"Churchill Primary School, Caledon",95.4,4.7,3.7,0.9
5012615,"Ballytrea Primary School, Stewartstown",96.8,3.2,2.4,0.8
5012621,Aughnacloy Primary School,95.8,4.2,3.6,0.6
5012632,"Donaghmore Primary School, Dungannon",96.6,3.4,2.1,1.3
5012635,Augher Central Primary School,97.2,2.9,2.1,0.8
5012636,Moy Regional Primary School,89.1,10.9,3.8,7.1
5012643,Stewartstown Primary School,94.6,5.4,2.5,2.9
5012646,"Howard Primary School, Dungannon",95.3,4.7,3.5,1.2
5012649,Coagh Primary School,96.4,3.6,2.7,0.9
5012657,"Walker Memorial Primary School, Dungannon",93.3,6.7,3.6,3.1
5012696,"Carntall Primary School, Clogher",96.3,3.7,3,0.7
5012719,Newmills Primary School,96.6,3.4,3,0.4
5012720,Dungannon Primary School,92,8,5.3,2.7
5012726,Cookstown Primary School,91.3,8.7,4.9,3.8
5013019,"Edenderry Primary School, Banbridge",93.8,6.2,3.2,3
5013702,"Woods Primary School, Magherafelt",95.4,4.6,3.3,1.3
5016007,"Millington Primary School, Portadown",92.6,7.4,4.8,2.6
5016027,"Drumhillery Primary School, Middletown",96.2,3.8,2.5,1.3
5016065,"Dickson Primary School, Lurgan",90.4,9.6,3,6.7
5016078,Poyntzpass Primary School,94.5,5.6,3.1,2.4
5016079,"The Cope Primary School, Loughgall",94.6,5.4,3,2.4
5016080,"Drumgor Primary School, Craigavon",88.8,11.2,5.2,6
5016088,Fivemiletown Primary School,95.4,4.6,3.2,1.3
5016098,"Brackenagh West Primary School, Kilkeel",94.8,5.2,3.9,1.3
5016117,Ballyoran Primary School,90.5,9.5,4.5,5
5016138,"Bocombra Primary School, Portadown",94.9,5.1,3.8,1.3
5016141,"Churchtown Primary School, Killybasky",95.2,4.8,2.5,2.4
5016178,Donacloney Primary School,94.1,5.9,4,1.9
5016179,"Hamiltonsbawn Primary School, Armagh",97,3,1.7,1.3
5016200,"Queen Elizabeth II Primary School, Pomeroy",94.5,5.5,4.2,1.3
5016221,"Orritor Primary School, Cookstown",96.2,3.8,2.4,1.4
5016224,"Donaghey Primary School, Dungannon",94.8,5.2,3.2,2
5016391,"Bush Primary School, Dungannon",94.9,5.1,3.3,1.8
5016436,Markethill Primary School,95,5.1,3,2
5016451,"Windsor Hill Primary School, Newry",86.6,13.4,1.2,12.2
5016543,"Moyallon Primary School, Portadown",96,4,2.8,1.2
5016599,"Fair Hill Primary School, Dromara",95.1,4.9,3.4,1.5
5016612,"Bronte Primary School, Banbridge",94.9,5.1,3.8,1.3
5016616,"Drumadonnell Primary School, Banbridge",97.1,3,2.1,0.8
5016643,Richmond Primary School,96.6,3.4,1.8,1.6
5016658,Orchard County Primary School,94.4,5.6,3.2,2.4
5016680,"Killyman Primary School, Dungannon",95.2,4.9,2.7,2.2
5030958,"St John's Primary School, Eglish",95.1,4.9,4.4,0.4
5030972,"St Oliver Plunkett Primary School, Forkhill",91.9,8.1,2.5,5.6
5030975,"St Malachy's Primary School, Ballymoyer",95.4,4.6,3.2,1.4
5031070,"St Michael's Primary School, Newtownhamilton",90.9,9.2,4.6,4.6
5031080,"Clintyclay Primary School, Dungannon",92.7,7.4,4.8,2.5
5031086,"Clonalig Primary School, Crossmaglen",94.5,5.5,4.6,0.9
5031088,"Dromintee Primary School, Newry",96,4.1,2.7,1.4
5031103,"Tannaghmore Primary School, Lurgan",93.2,6.8,4.6,2.3
5031107,"St Teresa's Primary School, Tullyherron",94,6,5.7,0.3
5031108,"Clea Primary School, Keady",93.7,6.3,5.5,0.8
5031110,Armagh Christian Brothers Primary School,95,5,3.6,1.4
5031126,"Mount St Catherine's Primary School, Armagh",87,13.1,3.9,9.2
5031130,"St Moninna's Primary School, Cloughoge",93.3,6.8,5.5,1.3
5031133,"St Malachy's Primary School, Armagh",93.9,6.1,5.9,0.2
5031135,"St Oliver's Primary School, Carrickrovaddy",95.6,4.4,2.8,1.6
5031138,"St Joseph's Primary School, Madden",96.3,3.7,3.3,0.3
5031148,"St Patrick's Primary School, Crossmaglen",93.3,6.7,4.4,2.4
5031154,"St Michael's Primary School, Killean",95.1,4.9,3.7,1.2
5031158,"St Patrick's Primary School, Newry",88.8,11.2,7.2,4
5031160,"St Teresa's Primary School, Lurgan",94.5,5.5,2.3,3.1
5031163,"St Brigid's Primary School, Glassdrummond",93.3,6.7,5.6,1.2
5031164,"St Mary's Primary School, Maghery",95.6,4.4,3.2,1.3
5031166,"St Michael's Primary School, Clady",92.9,7.1,5.9,1.2
5031168,"St Patrick's Primary School, Aghacommon",95.8,4.2,2.7,1.6
5031169,"St Brigid's Primary School, Drumilly",95.4,4.6,4.6,0
5031172,"St Mary's Primary School, Granemore",95.1,4.9,2.4,2.5
5031176,"St Peter's Primary School, Cloughreagh",94.5,5.5,4.8,0.8
5031183,"St Patrick's Primary School, Armagh",92.7,7.3,4.8,2.4
5031184,"St Anthony's Primary School, Craigavon",92.3,7.7,3.8,3.9
5031188,"St Joseph's Primary School, Meigh",92.3,7.7,5.4,2.3
5031318,"Killowen Primary School, Newry",93,7,6,1
5031340,"St Joseph's Convent Primary School, Newry",90.5,9.5,4.7,4.8
5031558,"Ballyholland Primary School, Newry",93.9,6.1,4.4,1.7
5031589,Grange Primary School,94,6,3.7,2.3
5031609,"Carrick Primary School, Warrenpoint",94.4,5.6,4.7,1
5031653,"St Matthew's Primary School, Magheramayo",93.9,6.1,4.4,1.7
5031667,"St Patrick's Primary School, Magheralin",95.1,4.9,4,0.9
5031669,"St John's Primary School, Gilford",95.3,4.7,3.3,1.4
5031694,"Holy Cross Primary School, Newry",93.7,6.4,4.7,1.7
5031695,"St Mary's Primary School, Barr",96.9,3.1,2.3,0.7
5031697,"St Patrick's Primary School, Mayobridge",94.1,5.9,5.6,0.3
5032208,"Ballylifford Primary School, Coagh",95.7,4.3,3.5,0.8
5032262,"Lissan Primary School, Cookstown",93.6,6.4,3.3,3.2
5032306,"St Malachy's Primary School, Glencull",96.3,3.7,3.4,0.3
5032387,"Derrylatinee Primary School, Dungannon",95.8,4.2,2.9,1.3
5032463,"Blessed Patrick O'Loughran Primary School, Dungannon",96.2,3.8,3.8,0
5032558,"Laghey Primary School, Dungannon",93.7,6.3,3,3.3
5032585,"Edendork Primary School, Dungannon",95.3,4.8,4,0.7
5032591,"Roan St Patrick's Primary School, Eglish",95.7,4.3,3.2,1
5032592,"St Mary's Primary School, Lisbuoy",93.8,6.2,3.7,2.5
5032624,St MacCartan's Convent Primary School,96.1,3.9,2.6,1.3
5032678,"St Patrick's Primary School, Donaghmore",95,5,3.1,1.9
5032692,"St Mary's Primary School, Stewartstown",92,8,3.9,4.1
5032697,"St Patrick's Primary School, Aughadarragh",96.9,3.1,2.5,0.7
5032698,"St Brigid's Primary School, Mountjoy",95.3,4.7,4.2,0.6
5032699,"St Mary's Primary School, Dunamore",95.6,4.4,3.3,1.1
5032703,"St Peter's Primary School, Moortown",94,6,5,1.1
5032713,"Derrychrin Primary School, Cookstown",95.2,4.8,4,0.8
5032714,"Holy Family Primary School, Aughamullan",94.2,5.8,5.7,0.1
5032715,"St John's Primary School, Moy",96.4,3.6,2.8,0.8
5032717,"St Patrick's Primary School, Mullinahoe",93.9,6.1,4.3,1.7
5032729,"St John's Primary School, Kingsisland",96.8,3.2,3.2,0
5032734,"St Mary's Primary School, Cabragh",96.2,3.8,2.2,1.6
5032735,"St Mary's Primary School, Ballygawley",96.3,3.7,2.8,0.9
5032736,"St Mary's Primary School, Fivemiletown",94.1,5.9,5.8,0.2
5033003,"St Paul's Primary School, Cabra",94.8,5.2,4.5,0.7
5033004,"St Mary's Primary School, Rathfriland",92.9,7.1,4.1,3
5033006,"St Michael's Primary School, Finnis",94,6,5.4,0.6
5033011,"St Mary's Primary School, Dechomet",95.8,4.2,3.4,0.9
5033025,"St Patrick's Primary School, Ballymaghery",94.2,5.8,3.7,2.1
5033324,"St Patrick's Primary School, Derrynaseer",93.1,6.9,3.3,3.5
5036000,"St Colman's Primary School, Dromore",94.7,5.3,3.7,1.6
5036006,"St Mary's Primary School, Derrymore",93.6,6.4,3.9,2.5
5036009,"St Mary's Primary School, Derrytrasna",94.9,5.1,3.4,1.7
5036031,"St Patrick's Primary School, Loup",96.1,3.9,3.1,0.8
5036033,"St Joseph's Primary School, Galbally",96.4,3.6,3.6,0
5036043,"St Mary's Primary School, Banbridge",93.4,6.6,3.6,3
5036047,"St Patrick's Primary School, Annaghmore",90.6,9.4,4.7,4.7
5036057,"St Malachy's Primary School, Drummullan",94.3,5.7,5.4,0.3
5036061,"St Colman's Primary School and All Saints NU, Annaclone",96.3,3.7,2.1,1.6
5036064,"St Malachy's Primary School, Camlough",94.7,5.3,4.2,1.1
5036087,"St Mary's Primary School, Mullaghbawn",94.9,5.1,3.4,1.7
5036099,"St Patrick's Primary School, Cullyhanna",94.4,5.6,2.4,3.2
5036101,"St Brendan's Primary School, Craigavon",91.8,8.2,6.8,1.4
5036108,"St Joseph's Primary School, Killeenan",94.4,5.6,5.6,0
5036110,"St Joseph's Primary School, Bessbrook",92.5,7.5,4.6,2.9
5036118,"St Mary's Primary School, Pomeroy",94,6,4.5,1.5
5036120,"St Patrick's Primary School, Moneymore",93.1,6.9,6,1
5036121,"St Jarlath's Primary School, Blackwatertown",95,5.1,2.9,2.1
5036122,"Jonesborough Primary School, Newry",94.5,5.5,3.4,2.1
5036130,"St Laurence O'Toole Primary School, Belleek",94,6,5.8,0.2
5036136,"Sacred Heart Primary School, Dungannon",95.1,4.9,4.1,0.8
5036173,"St John the Baptist Primary School, Portadown",92.3,7.7,1.7,5.9
5036180,"St Oliver Plunkett Primary School, Ballyhegan",95.3,4.7,4.3,0.4
5036363,"St Mary's Primary School, Aughnacloy",94.3,5.8,3.7,2.1
5036400,"St Colman's Primary School, Bann",94.9,5.1,3.7,1.4
5036409,"St Ronan's Primary School, Newry",93.9,6.1,4,2.1
5036433,"St Malachy's Primary School, Carnagat",89.5,10.5,4.6,5.9
5036457,"St Francis' Primary School, Aghaderg",93.5,6.5,3.9,2.6
5036463,"St Joseph's Primary School, Caledon",96,4,3.6,0.4
5036504,"St Patrick's Primary School, Dungannon",90.3,9.7,4.3,5.4
5036545,"St Colman's Primary School, Kilkeel",92.4,7.6,7.6,0
5036567,"Holy Trinity Primary School, Cookstown",93,7,5.6,1.4
5036572,"St Colman's Primary School, Saval",95.7,4.3,4.1,0.3
5036583,"St Dallan's Primary School, Warrenpoint",91.8,8.2,3.3,4.9
5036586,"Presentation Primary School, Portadown",90.8,9.2,3.1,6.1
5036590,Primate Dixon Primary School,87.7,12.3,3.1,9.2
5036595,"St Peter's Primary School, Collegelands",96.2,3.8,2.6,1.2
5036598,"Our Lady's Primary School, Tullysaran",96.2,3.8,2.8,1
5036605,"St Patrick's Primary School, Drumgreenagh",95.4,4.6,3.5,1.1
5036610,"St Francis of Assisi Primary School, Keady",92.9,7.1,4.2,2.9
5036622,"St John's Primary School, Middletown",95.3,4.7,2.7,2
5036633,"St Francis' Primary School, Lurgan",91.5,8.5,3.6,4.9
5036634,"St Clare's Abbey Primary School, Newry",91.6,8.4,5.9,2.5
5036639,"Our Lady's & St Mochua's Primary School, Keady",94.8,5.2,4.5,0.7
5036673,"St Bronagh's Primary School, Rostrevor",94.5,5.5,4.6,0.9
5036675,"St Joseph's and St James's Primary School, Poyntzpass",93.8,6.3,3.7,2.5
5036706,"St Columban's Primary School, Kilkeel",93.6,6.4,4.8,1.6
5046137,"Seagoe Primary School, Portadown",94.8,5.2,3.3,1.9
5046241,"The Drelincourt, Church of Ireland, Armagh",71.1,28.9,25.5,3.4
5046597,"Bunscoil an Iuir, Newry",93.4,6.6,3.5,3.1
5046637,"Gaelscoil Ui Neill , Dungannon",92.8,7.2,6.8,0.4
5046692,"Gaelscoil na mBeann, Kilkeel",94.1,5.9,5.1,0.8
5046695,"Gaelscoil Aodha Rua, Dungannon",94.9,5.1,5.1,0
5046699,Gaelscoil Eoghain,94.3,5.7,4.3,1.4
5050992,Lurgan Model Integrated Primary School,84.8,15.2,4.8,10.3
5056013,"Kilbroney Integrated Primary School, Newry",92.4,7.6,7.6,0
5066540,"Bridge Integrated Primary School, Banbridge",93.8,6.2,3.5,2.7
5066553,Portadown Integrated Primary School,93.4,6.6,3.6,3
5066554,"Windmill Integrated Primary School, Dungannon",92.3,7.7,3.2,4.5
5066578,Saints and Scholars Integrated Primary School,94,6,3.7,2.3
5066657,"Phoenix Integrated Primary School NU, Cookstown",94.2,5.8,3.7,2.1
5620263,Armagh Royal Preparatory Department,94.3,5.7,5.4,0.3
